Subject,Relation,Object
menial,emtea,emtea  subclass of
Rice,,Rice  subclass of
barley,,Wheat  subclass of
Salt,,Utah  located in the administrative territorial entity  Utah  Salt  contains administrative territorial entity
Wool,,Fabric  subclass of
Barley,,Crops  subclass of
wheat,,crops  subclass of
goat,,Sheep  subclass of
duck,,game bird  subclass of  geeee  game bird  subclass of  teal  game bird  subclass of
dupuru,,barley bread  subclass of
Rice,,food  subclass of
wheat,,corn  subclass of
tlio,floclcs,wool  subclass of
n,night,cnp  woollen cap  subclass of
sheep,,goat  subclass of
Buur,,rice  subclass of
sheep,,small animals  subclass of  fowl  small animals  subclass of
ghi,,wool  subclass of
Rabi,,barley  subclass of  opinm  barley  subclass of  sarsbn  barley  subclass of  pulees nre ~rodnced  barley  subclass of
ricb,,wheat  subclass of
buckwheat,,wheat  subclass of
barley,,wheat  subclass of
nnotller,,wheat  subclass of
tivld,,rice  subclass of
Maize,,Nuite  subclass of
maize,,grain  subclass of
wheat,,gahar  subclass of
Rhpi,,opium  subclass of
b,~>disposed,of  grain  subclass of
sheep,,goats  subclass of
bnrlay,,wheat  subclass of
goat,,grain  subclass of
IChlu,,wool  subclass of
mannre,,sheep  subclass of
opium,,merchants  subclass of
Stetea,,Simln  located in the administrative territorial entity
Wool,,Wool  subclass of
silk,,piece-goods  subclass of
rice,,grain  subclass of
wheat,,Grain  subclass of
1,,barley  subclass of
kar,,grain rent  subclass of
Wild,honey,honey  subclass of
Wild,honey,honey  subclass of
graee,,honey  subclass of
裸millaws,,wheat  product or material produced  裸barley  wheat  subclass of
food-grain,,produce  subclass of  produce  food-grain  has part
ears,,grain  subclass of
moaka,,yak  subclass of
bribes,,Steal  subclass of
corzbs,,wool  subclass of
raah,,barley meal  subclass of
thorn,,wheat  has part  �barley  has part  suckwheat  has part  wheat  thorn  subclass of  �barley  thorn  subclass of  suckwheat  thorn  subclass of
second,crop,buckwheat  subclass of
bsrley,,wheat  subclass of
barley,,crops  subclass of
Barley,,Wheat  subclass of
ponies,,sheep  subclass of
high-lyine,,sheep  subclass of
salt,,wool  subclass of
barley,,wheat  subclass of
horse,,Cattle  subclass of  colta  Cattle  subclass of  tilliee  Cattle  subclass of  eases  Cattle  subclass of  ram  Cattle  subclass of  sheep  Cattle  subclass of  lambn  Cattle  subclass of  goats  Cattle  subclass of  kida  Cattle  subclass of  ylk  Cattle  subclass of  hybrid yiks  C
n~ales,,ponies  subclass of  aases  ponies  subclass of  sheep  ponies  subclass of  goeta  ponies  subclass of
wheat,,flour  subclass of  buckwl~eet  flour  subclass of
bronght,,Chinese tea  subclass of
hookah,,pipe  subclass of  opium pipe  pipe  subclass of
woollen,,cloth  subclass of
elso,,silk  subclass of
011,clotlt,silk  subclass of
eomo,,plateau  subclass of
barley,,aeed  subclass of
wheat,,grains  subclass of
brsrl,,grain  subclass of
goat,,sheep  subclass of
therma,,woollen cloth  subclass of
woollen,,cloth  subclass of
Wheat,,cereal  subclass of
cor~toina,,barley  subclass of
