Place,Latitude,Longitude
Wazira,16.875006,96.0519952
Runa,39.0679465,-9.2112851
Tho village,4.8867479,95.6023414
Punar,32.0546447,76.5192926
Chautha,20.4984551,76.0337954
Kailés,38.5289268,22.6190308
Jabour,-22.8807636,-43.4931972
Loharra,23.926208,78.4735348
Barji,23.8911405,80.0513994
Literacy,44.637142,-124.0566369
Baddi,30.9763026,76.7674001
Excise,8.5148851,76.9363343
kiria,13.417746,7.1714234
Shargal,30.900807,77.6767087
M.R.A.S.,45.0003869,7.8440153
katala,25.3336984,51.2295295
Sénam,24.4001581,94.0762873
Maroli,21.0200688,72.8904944
kalsa,48.612722,21.5248431
Banias,35.185136,35.9477821
Kasauli,30.8999479,76.9619744
Newa,59.8354498,30.5614758
Vol,39.2230176,22.7945557
Kilbé,51.0337667,8.3126074
Barun,24.8493303,84.2368973
Ligha,28.1636958,82.6067543
Chhué,12.1139117,105.5141123
Kanete,-9.23709,124.35212
Bhajun,-20.4776272,57.6167228
Rajina,7.0609359,79.888961
Khash,28.2203911,61.2137052
Basantpur,26.4719651,86.9763441
Chora,36.9639291,26.9592627
Singular,41.4037243,2.1583867
Labénda,37.6243365,127.0190964
Kula,45.6101491,19.5301174
Suket,24.6473824,76.0438211
Chamér,45.841516,4.4594696
kheu,4.9173539,114.946623
Shinglé,9.2423104,79.2357305
CHAY,47.0357,5.85988
LA,20.0171109,103.378253
Naldera,31.18337,77.1885359
Daran,32.9865555,50.4138667
Wangtu,31.5482206,78.0052467
Rajputana,22.4707735,70.0721618
Muri,46.9290477,7.4870909
Turis,39.3898826,-0.7104878
Chéré,48.1983994,0.4435263
i.e,13.7386054,121.0691986
Uttam,21.6816768,83.6116648
Khadli,22.7082799,77.4253709
Asrang,28.0200763,84.6981217
Communica,-33.9104429,18.4705684
GAZETTEER,44.0206027,144.2732035
Karoli,59.0479363,27.7513343
the Hill States,39.2473036,-84.2805468
Kiar,-33.2066667,151.4427778
Handu,34.7357326,112.0403969
Sarahan,31.5093363,77.7930108
tailin,36.4796673,111.3390968
Foresta,45.4256955,7.7088688
Gerén,41.1669692,32.9151777
Khésas,32.2,35.6
Singh,-0.1493617,36.1338982
Tania,27.3008816,92.7719092
Bombay,19.054999,72.8692035
Chana,6.9092194,100.7401095
Robru,60.74704,8.86748
tho hill,39.0320021,125.7515907
Hamil,40.7802655,19.5169421
eaton,42.5935964,-84.8443666
Ambala,30.3843674,76.770421
Garkhal,30.9012971,76.9803739
Vernacular,39.9860817,-83.0445086
Bhunda,24.8869265,80.3043615
Nangal,31.3837484,76.3754353
Kanet,33.3330631,72.2228398
Naro-,37.29622,13.7915674
Chomos,11.2542813,-85.8715603
Krishna,16.21277,81.0306958
moon.,58.5959044,23.2196461
Western Tibetan,41.3300499,-73.3814377
Pagog,31.1211825,77.1703505
Ribéni,56.9839047,23.2626871
W.D.,51.4834476,11.9666625
Bs,24.7736546,-78.0000547
Thibet,31.6692025,87.473225
Dhuru,24.4910736,77.319417
Rivera,45.1147797,7.4137652
Pojarli,31.4474469,77.5801277
Satya,20.4374085,76.8710804
Haripur,27.0139022,85.5417222
Chasang,35.9999125,126.9491792
Parali,10.8007269,76.5557648
Pobar,41.890276,-2.2342701
Kéti,40.8736621,43.8447682
Except,49.1171468,6.174745
Gaura,55.24331,22.4686052
Ks,38.27312,-98.5821872
Bhet,21.1225832,72.8630342
Kala,28.26291,89.3844638
Baghar,23.1966564,81.1222161
Nalog,32.3010177,76.1092043
Parganas,22.6926815,88.6625795
W.G,48.2257694,16.3460319
ho,51.4960092,-0.1298318
Sanjauli,31.102868,77.1938729
Dalwél,20.8601753,74.9956369
B.D.,35.7026938,139.5768938
Rodu,2.4078217,30.9407817
D.A.,51.5064724,-0.2654003
Sairi,31.0784272,77.0513248
Ghani,26.5902984,70.7408347
The Hague,52.0799838,4.3113461
Gaur,26.7660963,85.2749238
Péngi,-9.7168297,119.4127983
Jungo,0.183333,32.433333
Lippa,51.6711439,7.7165069
Médbo,58.4882628,11.4768944
Hattu,69.2707384,19.9598646
Kanéshi,26.6946952,127.9362523
Kilba,36.638392,127.6961188
Solang,32.3160963,77.1565572
Malat,-7.1489104,-78.0587431
kitaba,0.757058,31.1112536
