Place,Latitude,Longitude
Kumharsain,31.2823286,77.41029363490047
Sekhar,13.245105,79.081042
India,22.3511148,78.6677428
Khalsa,29.7850697,79.585433
N. Delhi,28.78722785,77.09809032829239
Chhajju,30.4236053,76.924628
Gautam,28.36871595,77.59701208101043
Kangra District,32.0768665,76.29858720759783
Atma Ram,28.628290049999997,77.2251511878879
Bethu,-29.774052421677666,30.904557205271416
E.J.,-37.7998002,144.8855889
Basa,37.4711631,41.9111268
Germany,51.1638175,10.4478313
Tibet,31.669202499999997,87.47322500528882
phati,32.4566727,76.2183487
Berkeley,37.8708393,-122.272863
V,16.7323022,48.6084967
Rawat,30.9530896,75.9305242
Gadadi,26.2523547,76.3869738
K.M.,51.4621262,-0.11355400799648507
C.M.,48.8475752,2.2895356
N.K.Ray,35.56999845,-82.55357308990347
North India,37.787747,-122.3992384
D.O.,-40.130427,-71.2933135
"Delhi,1970",42.2733555,-74.8143539
Gurkhas,51.426242,-0.0511268
Kooloo,-12.629081905410995,141.87655686653557
Leh,34.1642029,77.5848133
Krishna,16.21277,81.03069575082347
S.R.,15.04756105,120.69054563579596
Patta,12.7182562,79.865241
Calcutta,22.5726459,88.3638953
Kanpur,26.4609135,80.3217588
Hindustan,22.3511148,78.6677428
"New
Delhi",28.64308585,77.21926705734865
Bangalore,12.98815675,77.62260003796
Middlesex,51.546055800000005,-0.2537791389340719
Beas,31.6181829453933,75.40692792281901
Kanet,33.3330631,72.2228398
18.07.1939,35.8520786,5.2904883
Marc,45.0743282,7.6147978
Bushahr.33,31.4486551,77.6302099
Shillai,30.6769058,77.7069318
Veena,12.9082094,77.64150725143577
Indian Empire,-41.4352749,147.1395148
Sherring,49.738263950000004,-112.78994674054955
Gumma,-30.7213889,152.965
Kumhar,25.4875983,68.6761537
Jaipur,26.9154576,75.8189817
Basas,66.3823434,23.1558514
Manchester,53.4794892,-2.2451148
Delhi,28.6273928,77.1716954
Parganas,22.692681450000002,88.66257945063968
Yamuna,27.1242347,78.3695769
Punjab Hill,22.34554,114.2624968
Mandi State,35.68630735,-88.86408895
Petersburgh,42.7495232,-73.3401106
Hill States’,40.384456071690664,-105.60560863734366
Thakur,26.9603967,79.23806164422518
Kotkhai,31.1569042,77.53102566190228
R.C.,37.04008330356362,70.32687217532512
the Mandi State,35.68630735,-88.86408895
Garhwal,30.25,79.333333
Khasas,30.0834053,31.246801050000002
Jaina,35.0000663,104.999955
Indian Union,39.6196086,-84.9292376
Cambridge,52.2055314,0.1186637
Hindostan,22.3511148,78.6677428
Burma,17.1750495,95.9999652
B.A.,50.3957423,30.5016005
Y.S.,18.14106,-77.8270412
the hill states,41.31864295,-72.20016712170724
M.I.,45.8041411,15.9290711
Madhu,8.8553675,80.2030069
Yarkand,38.3446426,77.033982
Mandi,31.65166165,77.00925418842219
Chamar,28.5550852,84.9437234
Simla District 1888–89,31.1041526,77.1709729
Hatkoti,31.1308028,77.7457165
B.R.,32.7657532,-117.2254617928891
East India,51.5093835,-0.0021873
No.4,49.53924265,25.6259285361253
Rampoor,17.9711813,79.704051
North Himalayas,28.989104688850738,-82.55939915162459
Bilaspur,22.1638486,82.13659231724193
Theog,31.1198874,77.36361831417065
Peru,-6.8699697,-75.0458515
Simla.54,-33.800749,151.081728
Simla District,31.1041526,77.1709729
Los Angeles,34.0536909,-118.242766
"New Jersey",40.0757384,-74.4041622
Rajgarh,23.87167065,76.77447033719486
Indian States,44.158060899999995,-123.87876935
Ganga,25.7240512,84.1137187
Rohru,31.2258578,77.734076197437
Afghanistan,33.7680065,66.2385139
"Singh, Chetan",30.951333,74.620858
Bashahr,31.8016343,76.9875955
Mawana,29.046588149999998,77.96334508106705
Lytton,50.2311317,-121.581601
Kabool,28.6765636,77.29174772149332
Jagir,-7.302567,112.7376028
Baned,31.5037208,76.8841052
Pargana,26.30957385,78.708397400315
Ramsay,51.037727,-114.041219
"The Hague",52.07494555,4.2696802205364515
Tehsil,28.7303496,77.7757653
London,51.5074456,-0.1277653
Hill States,40.384456071690664,-105.60560863734366
Koli,63.1179872,29.7840744
Bushahr,31.4486551,77.6302099
Western Tibet,47.9803984,18.12962886250374
Jalandhara,31.3323762,75.576889
Monsoon,-27.541312,15.8532528
IX,61.5048112,23.762547
Sharma,27.9225088,93.097288
Sati,39.7837304,-100.445882
Native States,35.9512799,-95.6039929
Shalu,24.2371296,120.5573677
Dhauladhar,32.24219243028854,76.49233058869687
Merlin,48.77021175,9.161101375226812
Bhajji,15.5914185,73.8103215
Seon,47.3460005,8.1593554
House,34.656400500000004,-103.90050220904119
the Highlands of Scotland,57.4710159,-4.230575885147928
Himala,46.5000747,11.3495677
Nagri,23.309508049999998,85.22716185632777
Angrez,13.0236396,77.6370323
Dussehra,26.91050835,75.72629961616528
Muafi,24.70850915,77.55728593986166
Praja Parishad,17.4416461,78.3879022
Singh,-0.1493617,36.1338982
Keonthal,31.0124193,77.078973
Nawur,33.8448096,67.7419404
L.H.,41.3598601,2.0997927
Sehgal,25.4526515,81.8346525
Lahul,32.539182499999995,77.19833433579925
Birmingham,52.4796992,-1.9026911
"States,1939",38.4161699,-77.8266185
Gangetic,27.75,79.0
the hill,38.8890009,-77.0002537
Lyall,-34.3343182,116.1123837
U.P,52.5062955,13.4653663
Hinduism,-1.774487,120.5529836
the Himalayan State,40.7431316,-73.9209224
Nalagarh,31.105981399999997,76.65670177945675
Tibetan,31.8280766,87.4064278
Dehradun,30.3255646,78.0436813
C.S.,41.22904951925527,-8.59144618804753
Jaisalmer,26.9116615,70.9124888
Methuen,42.7262016,-71.1908924
Doms,45.6605628,1.7083479
Ladakh,34.0242098,77.2036739
pp. 148–49,55.2501182,30.25338057364589
New Delhi,28.64308585,77.21926705734865
Palampur,32.1095492,76.5359534
16.10.1939,35.8520786,5.2904883
"Mandi, Bilaspur",22.085760921271845,82.15648285475815
Suket,24.6473824,76.0438211
Viceroy,49.4585469,-105.3696815
Purnanand,29.1722499,79.5149045
South India,17.3615965,78.4276746
22.03.1948,36.0339934,5.3387839
Bengal,39.4735045,-85.9228997
"Singh, Uma",48.3601564,9.9703638
Siwalik,57.59426440644767,-3.6247869940411177
Figures,51.4781098,-0.1568838
Sahibabad,28.66770635,77.36816138144256
Collins,41.9028032,-93.3063381
Himalayan hill,53.4928417,-2.2398424
Khatri,24.8608353,67.0017101
Bipan,45.929156449999994,13.26088344272995
Himalaya,27.985688,86.9163367
Dewan,30.6714245,77.5689804
H. Cleghorn’s,35.364984318507005,-81.9546195808611
Poonam,19.05159815,72.83087419347105
Shiwalik,29.1227601,75.76702150350849
Phati,32.4566727,76.2183487
pargana,26.30957385,78.708397400315
Mahajan,23.0845699,89.6697949
Varanasi,25.3356491,83.0076292
Simla Hill,31.56227945,74.33591614501148
Burhia,40.5295323,72.79195711533924
New Haven,41.3082138,-72.9250518
Nahan,30.5601803,77.2923596
Khash-,28.2203911,61.2137052
Resident,-0.9397270499999999,37.705937614465526
Allahabad,25.4381302,81.8338005
Khash,28.2203911,61.2137052
All States,37.7598573,-122.397501
Greater Himalayas,-37.75932819655489,144.6903329046082
Doab,33.8113135,48.152635924104985
N.D.,47.6201461,-100.540737
Parmar,33.0286078,76.4740705
Balh,36.7991624,67.2372587
