Source,Relation,Target,Weight
children,BELONGED TO,the husband(s),2
satyadev bushahri,PRESIDENT,bushahr rajya praja mandal,2
copyright,PAGE,p,1
himachal pradesh government,PETITION,supreme court,1
garhwal and kumaon,DEMAND,state separate from uttar pradesh,1
himachal,TO,agitation,1
media,ATTRIBUTE,open and strong support,1
academia,ATTRIBUTE,open and strong support,1
my first research interest,BE,social history of the himalayas,1
shimla,BE,idyll,1
delhi,OPPOSE,heat and dust,1
mandal commission,RECOMMEND,reservations,1
shudra castes,LACK,western himalayas,1
brahmins,PRESERVE,uniform upper-caste status,1
rajputs,PRESERVE,uniform upper-caste status,1
vaishya castes,PRESERVE,uniform upper-caste status,1
khash peasantry,STRUGGLE,begar,1
himachal pradesh,REFERS,'upper himachal',1
western himalayas,HAVE,colonial history,1
the one and only researched history,WRITTEN,in 1933,1
regions to the west of simla hill states,COVERED,by this work,1
a historian friend,WARNED,about trying to work on the history of the region,1
the western himalayas,RESEARCHES INTO,his own researches,1
i,CAME UP AGAINST,conceptual barriers too,1
proper sources,LACK OF,to write a full scale account of the history of unfree labour in the western himalayas,1
"ph. history of punjab hill states, 2 vols.",WRITTEN BY,ramchandra guha,1
the unquiet woods: ecological change and peasant resistance in the himalaya,WRITTEN BY,ramchandra guha,1
"nineteenth century cis-sutlej hill states, h.p. university, simla, 1987",UNPUBLISHED PH.D.,mohan singh rathore,1
i,AM NO APOLOGIST FOR,unfree labour,1
the region's peasantry,OPPOSITION TO,such labour by,1
reciprocal labour,LINKED AS CLOSELY TO,unfree labour in the western himalayas,1
servile unfree labour,AS IT WAS TO,the commonly understood form of,1
polyandrous himalayan family,LOCATED INSIDE THE MATRICES OF,unfree labour,1
colonialism,OVERARCHING STRUCTURE OF,all subsumed under,1
sociological and historical literature on india under colonialism,SEEMED TO PROVIDE DIMINISHING CONCEPTUAL CLARITY THE DEEPER I DELVED INTO,the social history of the western himalayas,1
western himalayas,NEVER BEEN A POLITICAL PART OF ANY INDIAN ENTITY THROUGHOUT HISTORY,there was a clearly discernable sociological gap between the plains of north india and this region,1
i,"REALISED THAT TO WRITE A CONTEXTUALISED HISTORY OF UNFREE LABOUR IN THE WESTERN HIMALAYAS, I WOULD NEED TO UNDERSTAND THE LOCAL DYNAMICS OF SOCIAL AND ECONOMIC TRANSFORMATIONS DURING THE COLONIAL PERIOD SEPARATE FROM THE GENERAL HISTORY OF INDIA UNDER COLONIALISM",this effort,1
i,FINALLY DECIDED TO SHIFT THE FOCUS OF MY RESEARCH FROM UNFREE LABOUR UNDER COLONIAL CONDITIONS TO A MAPPING OF THE COLONIAL ENCOUNTER IN THE REGION BY FOREGROUNDING ITS EXCEPTIONALISM AND FOCUSING PRIMARILY ON TRANSFORMATIVE PROCESSES,this book,1
doctoral thesis,STUDY,consequences of colonial rule,1
book,BASED ON,doctoral research,1
india,PRODUCT OF,colonialism,1
western himalayas,SPECIFIC HISTORY OF,colonial encounter,1
history of indian colonialism,GENERAL HISTORY,not studied independently,1
western himalayas,NON-CATACLYSMIC,colonial encounter,1
british rulers,INTENTIONS,not discussed,1
himalayan people,RESPONSE TO,transformative processes of colonialism,1
social geography of western himalayas,EMERGED AS,touristy idyll,1
sutlej river,FOCUS OF NARRATIVE,book,1
beas and tons river valleys,COMPLIMENTARY EVIDENCE FROM,book,1
region's geography,IMPACTED,pre-british social formation,1
british rule in the region,IMPACT ON,extant social formation,1
panikkar,GAVE,space to pursue divergent ideas,1
father (javeed alam),PROVIDED,initial inputs,1
chetan singh,HELPED,find my feet in the world of himalayan history,1
sumit sarkar,READ,many drafts,1
hari sen,READ,many drafts,1
kumaresh chakravarty,READ,many drafts,1
emma flatt,READ,many drafts,1
tanika sarkar,READ,many drafts,1
ravinder kumar,READ,many drafts,1
vasudha pande,SHARED,experiences of research on the western himalayas,1
staff (jnu library),THANKFUL TO,library services,1
staff (nehru memorial library),THANKFUL TO,library services,1
staff (h.p. secretariat library),THANKFUL TO,library services,1
staff (h.p. university library),THANKFUL TO,library services,1
staff (national archives of india),THANKFUL TO,library services,1
staff (british library’s oriental and india office collection),THANKFUL TO,library services,1
staff (soas library),THANKFUL TO,library services,1
"staff (south asia centre, cambridge)",THANKFUL TO,library services,1
staff (asiatic society of bengal),THANKFUL TO,library services,1
sara aparajita,DAUGHTER_OF,father,1
father,FINISH,book,1
colonial encounter,TAKE_PLACE_IN,western himalayas,1
western himalayas,BE_REGION,outside conventional historical accounts of colonialism in india,1
