Source,Relation,Target,Weight,Evidence,Confidence
district,administers,pargana,1,‘Pargana’ -------- eer,0.8
the mountain system of garhwal,connects_to,the tibetan watershed,1,"The mountain system of Garhwal can be regarded as a series of spurs from the Tibetan watershed, which hers separatia.",0.9
dudatoli,connects_to,pindar,1,"This ridge, it will be seen, divides the waters which find their way to the plains at Brahmdeo from those which travel to Hardwar...",0.8
kirsu,connects_to,byansghat,1,"castward and southward through Khirsu, Devidut (above Pauri) and Rauigarh (Adwaui), all of which pualts ere over 7,000 feet...",0.8
pokhri,connects_to,copper mines,1,"The place selected was Pokhri in Talla Nagpur, Copper.",0.8
captain drummond,negotiates_with,government,1,"In 1838 Captain Drummond brought out Mr. Wilkin, a Cornish miner, and the Government granted the sum of Rs.",0.7
commissioner,administers,mines,1,The Commissioner considered that 'the failure of this undertaking renders it impossible for me to record an opinion in favour of fresh experiments being made',0.6
garhwal,administers,"forest dues or keth-bans, and kath mahals",1,"Trail the Commissioner was authorized to farm out the forest dues or keth-bans, and kath mahals, as they were called form their principal items kdth (timber), bans (bamboo) and Eatll (catechu) to the zamindar of the pnrgnna in which they were collected.",0.8
major ramsay,regulates,forest and lumberage ducs from the koti dun and frorn udopur,1,"In 1858 the forefits came under Major Ramsay the Commissioner, who was also the first Conservator. He at once stopped the contract system and gradually induced cultivators to take up land south of the submontane road, leaving the valuable forest to the north untouched.",0.8
indian forest act,governs,reserved forests,1,"In 1879 they were declared reserved forests according to section 34 of the Indian Forest Act 1878 as far as Garhwal is concerned, and a schedule was also given of all village lands situated within forest limits;",0.8
ganges division,administers,forests,1,"Of these, three, the Saneh, Laldhang and Khara forests, were included in the Ganges division formed in December 1879.",0.8
bamboo,supplies,fuel and charcoal,1,The government workshops require large quantities of fuel and charcoal.,0.8
contractors,trades_with,sal timber,1,The main produce exported consists of sal timber and bamboos.,0.9
forest department,regulates,tree fellings,1,"From this time contractoru were restricted in their fellings, trees being marked for them, previous to felling, under a rough scheme of working.",0.8
forest department,taxes,revenue from timber sales,1,two lines of chaulcis being kept up to collect and check the revenue.,0.9
government,licenses,grazing rights,1,"The rights admitted are on a very liberal scale, especially the grazing rights;",0.8
forest department,regulates,road construction,1,"The forests are well served with roads, many of which are kept open all the year round in the interest of villagers and travellers.",0.8
government,administers,district forests,1,But the Government has avowed the policy of administering the district forests entirely for the benefit of the people.,0.9
deputy commissioner,controls,district forests,1,They are therefore left under the control of the Deputy Commissioner and it is an axiom that no profit is to be made out of them.,0.8
people,depends_on,forests,1,"The district is very largely dependent upon agriculture, for the proper conduct of which in the hills forests are in every way indispensable:",0.85
district officer,regulates,outlay over forest management and improvement,1,The income is to regulate the outlay over forest management and improvernent.,0.8
foresters,supplies,forest operations,1,"In 1903, a duly constituted establishment was appointed consisting of three foresters on Rs.",0.75
deputy commissioner,controls,extra assistant conservator,1,The technical and professional work of the whole district is supervised and directed by an extra assistant conservator (lent by the forest department) under the control of the Deputy Commissioner.,0.8
