Source,Relation,Target,Weight,Evidence,Confidence
government,regulates,salt industry,4,"Conditions should be created, so that private initiative may be attracted to start production on a large-scale factory basis. | The abolition of the salt Monopoly system virtually meant the extinction of the salt industry. | Regulation VII of 1063, M.E. (1887-88) was passed for better administration of the salt monopoly.",0.825
british government,regulates,salt manufacture,3,"The plan was to exercise or control the production of salt, and the production lay almost entirely in Indian States. | The object of the British Government in assuming charge of salt manufacture at the Sambhar Lake was not to make a direct profit on the manufacture of salt but to secure against loss of revenue... | The abolition of restrictions on the trade in salt which had paid duty to the British Government.",0.833
government of india,regulates,salt industry,2,The salt industry in India is one of the most pressing problems of the day. | the planning and regulation of which would be controlled by the Central Government.,0.8
salt department,supplies,salt,2,"...and various graphs, sketches, maps etc. The background, historical, technical, and general, as given in the original book remains practically the same. | the Salt Department should also examine the possibility of introducing one uniform price for salt all over the country.",0.75
sambhar lake,supplies,salt,2,"(a) System of manufacture (1) Pre-British . (f ) Collection, Storage and Payments | A large quantity of salt is produced in the world by artificial evaporation of brines from different sources, using the heat obtained by the burning of fuel to effect rapid evaporation.",0.825
government,taxes,salt,2,"In 1835-36 private individuals manufactured salt in Bihar, but the salt had to be sold to Government. | A duty was levied on the produce of some private salt works...",0.85
aden,supplies,salt,2,"During recent years the quantities coming to the Calcutta market have been about 17 Lakh maunds per annumf Salt was imported all the year 'round. | About 1935 in Bengal salt was imported only from Germany (Hamburg), Aden and Indian sources.",0.8
golahs,supplies,salt,2,"The facilities are: — A foreshore of 1057 feet along which are 8 pontoons and 18 gangways for the landing and delivery of salt coming into bond and being despatched to reverain stations. | The salt was taken up from the hold stored on deck, and shovelled into 2 maund tubs and weighed.",0.85
government,regulates,salt production,2,"The Government, however, reserved the right to take suitable preventive measures against the sale of unwholesome salt for human consumption. | Some years ago, Government started model salterns and takes it from them.",0.85
indian states,supplies,salt,2,The production lay almost entirely in Indian States. | The former Indian States were allowed to manufacture salt without any restriction in order to meet the shortage.,0.85
the lake,supplies,salt,2,"The yield of salt so procured, (and it was thus that, on an average of several years, most of the salt was obtained) | They furnish 40 percent, of the salt output of The , lake.",0.8
government of india,regulates,salt manufacture,2,"Government also wanted to stop smuggling into British territory of salt produced in the Kathiawar Peninsula and within the borders of the remaining Indian States. | The Government of India made the following announcement in their Home Department Notification No. S* 481-Political5 dated the 5th March, 1931, and the relevant clause relating to salt is given below:",0.85
tata chemicals ltd.,controls,salt works,2,"The activities of the Tata Chemicals Ltd., Mithapur cover a very vast area, but the actual area covered by the salt 'works is about 1,100 acres. | The works are under the control of highly qualified chemists and engineers.",0.85
