node,weighted_degree,weighted_in_degree,weighted_out_degree,betweenness,closeness,eigenvector
a situation,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
a trade,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
agricultural cycle,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
agriculture,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
amdowas,1.0,0,1.0,0.0,0.0,0.11581511544824878
ancient tea horse road,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
area,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
aurangzeb,1.0,1.0,0,0.0,0.005076142131979695,3.305649462996618e-11
baggage,1.0,1.0,0,0.0,0.005076142131979695,3.305649462996618e-11
baltistan,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
barley,5.0,5.0,0,0.0,0.04732274439168167,0.2750451980365545
basis,1.0,1.0,0,0.0,0.005076142131979695,7.611399157251647e-10
begar,3.0,2.0,1.0,5.179736869367036e-05,0.01015228426395939,1.3183330057046778e-09
begar conscription,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
bethus,2.0,0,2.0,0.0,0.0,4.674894303021156e-11
bhutanese,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
british,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
british officers,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
british rule,2.0,0,2.0,0.0,0.0,4.674894303021156e-11
buckets of salt water,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
butter,2.0,2.0,0,0.0,0.01015228426395939,0.015409811004797932
cash,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
cash dues,1.0,1.0,0,0.0,0.005076142131979695,7.611399157251647e-10
cash instead of cloth,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
caterpillar fungus,1.0,1.0,0,0.0,0.005076142131979695,7.611399157251647e-10
chang-luk sheep,2.0,0,2.0,0.0,0.0,0.0033856200867593287
chang-pa,1.0,0,1.0,0.0,0.0,0.11581511544824878
chang-thang sheep's wool,1.0,1.0,0,0.0,0.005076142131979695,0.018997003327571135
