source_id,text_file,pdf_file,pdf_pages,characters,words,paragraphs,result_dirs,source_linked_relation_rows,source_linked_validated_rows
Becoming_India,/home/samagra-bharti/Desktop/Research/corpus/Becoming_India.txt,/home/samagra-bharti/Desktop/Research/Books/Becoming_India.pdf,359,830333,137367,357,Becoming_India,72,55
British_Garhwal,/home/samagra-bharti/Desktop/Research/corpus/British_Garhwal.txt,/home/samagra-bharti/Desktop/Research/Books/British_Garhwal.pdf,279,548479,94256,316,British_Garhwal_20260817_134406,65,52
CentralAsia_Tibet_Vol1,/home/samagra-bharti/Desktop/Research/corpus/CentralAsia_Tibet_Vol1.txt,/home/samagra-bharti/Desktop/Research/Books/CentralAsia_Tibet_Vol1.pdf,647,1041666,184458,528,CentralAsia_Tibet_Vol1,127,111
CentralAsia_Tibet_Vol2,/home/samagra-bharti/Desktop/Research/corpus/CentralAsia_Tibet_Vol2.txt,/home/samagra-bharti/Desktop/Research/Books/CentralAsia_Tibet_Vol2.pdf,694,1099591,196351,934,CentralAsia_Tibet_Vol2_20260818_191750,141,121
Gutenberg_EBook,/home/samagra-bharti/Desktop/Research/corpus/Gutenberg_EBook.txt,/home/samagra-bharti/Desktop/Research/Books/Gutenberg_EBook.pdf,295,912629,155683,360,Gutenberg_EBook,4,4
HUMLA_NEPAL,/home/samagra-bharti/Desktop/Research/corpus/HUMLA_NEPAL.txt,/home/samagra-bharti/Desktop/Research/Books/HUMLA_NEPAL.pdf,7,19382,3219,7,HUMLA_NEPAL,7,4
Himalayan_Gazatteer,/home/samagra-bharti/Desktop/Research/corpus/Himalayan_Gazatteer.txt,/home/samagra-bharti/Desktop/Research/Books/Himalayan_Gazatteer.pdf,391,978710,171036,414,Himalayan_Gazatteer,79,48
J&K_Gazatteer_1909,/home/samagra-bharti/Desktop/Research/corpus/J&K_Gazatteer_1909.txt,/home/samagra-bharti/Desktop/Research/Books/J&K_Gazatteer_1909.pdf,155,408490,69655,159,J&K_Gazatteer_1909,51,42
Ladakh,/home/samagra-bharti/Desktop/Research/corpus/Ladakh.txt,/home/samagra-bharti/Desktop/Research/Books/Ladakh.pdf,332,698879,117167,328,Ladakh,63,47
Mandi_Gazatteer,/home/samagra-bharti/Desktop/Research/corpus/Mandi_Gazatteer.txt,/home/samagra-bharti/Desktop/Research/Books/Mandi_Gazatteer.pdf,154,364800,64475,154,Mandi_Gazatteer,26,16
Memo_Relations_with_Tibet,/home/samagra-bharti/Desktop/Research/corpus/Memo_Relations_with_Tibet.txt,/home/samagra-bharti/Desktop/Research/Books/Memo_Relations_with_Tibet.pdf,47,180597,31191,80,Memo_Relations_with_Tibet,43,34
Report_On_Tibet_1903,/home/samagra-bharti/Desktop/Research/corpus/Report_On_Tibet_1903.txt,/home/samagra-bharti/Desktop/Research/Books/Report_On_Tibet_1903.pdf,74,214965,37465,85,Report_On_Tibet_1903,25,18
Rupshu,/home/samagra-bharti/Desktop/Research/corpus/Rupshu.txt,/home/samagra-bharti/Desktop/Research/Books/Rupshu.pdf,11,26248,4725,58,Rupshu,17,12
Salt_Industry_India,/home/samagra-bharti/Desktop/Research/corpus/Salt_Industry_India.txt,,0,2117339,308971,19320,Salt_Industry_India,11,8
Salt_routes_and_barter_caravans_in_the_H,/home/samagra-bharti/Desktop/Research/corpus/Salt_routes_and_barter_caravans_in_the_H.txt,/home/samagra-bharti/Desktop/Research/Books/Salt_routes_and_barter_caravans_in_the_H.pdf,16,42219,6932,16,Salt_routes_and_barter_caravans_in_the_H,14,10
Santiago_Lazcano,/home/samagra-bharti/Desktop/Research/corpus/Santiago_Lazcano.txt,/home/samagra-bharti/Desktop/Research/Books/Santiago_Lazcano.pdf,34,91317,15016,145,Santiago_Lazcano,29,27
Traders_in_Highland_Nepal,/home/samagra-bharti/Desktop/Research/corpus/Traders_in_Highland_Nepal.txt,/home/samagra-bharti/Desktop/Research/Books/Traders_in_Highland_Nepal.pdf,351,791129,140113,470,Traders_in_Highland_Nepal,343,301
TransHimalayan_Traders_Fisher,/home/samagra-bharti/Desktop/Research/corpus/TransHimalayan_Traders_Fisher.txt,/home/samagra-bharti/Desktop/Research/Books/TransHimalayan_Traders_Fisher.pdf,255,469381,77054,279,TransHimalayan_Traders_Fisher,97,77
TransformationProcessesInNomadicPastoralism,/home/samagra-bharti/Desktop/Research/corpus/TransformationProcessesInNomadicPastoralism.txt,/home/samagra-bharti/Desktop/Research/Books/TransformationProcessesInNomadicPastoralism.pdf,13,57799,9349,13,TransformationProcessesInNomadicPastoralism,7,6
