view,node,node_type,match_type,degree,strength,degree_tolerance,strength_tolerance,largest_component_nodes,components,global_efficiency_loss
validated,salt,COMMODITY,top_degree,27,29.0,5.4,5.800000000000001,230,116,0.018657567977864137
validated,tibet,LOCATION,degree_strength_matched,22,25.0,5.4,5.800000000000001,226,114,0.019967217557851136
validated,tarangpurians,CONCEPT,top_degree,17,20.0,5.4,5.800000000000001,240,107,0.011424778077937917
validated,kashmir,LOCATION,top_degree,16,16.0,5.4,5.800000000000001,235,110,0.012756629315098335
validated,tibetans,GROUP,top_degree,15,17.0,5.4,5.800000000000001,258,106,0.0064900786201910615
validated,aldat,CONCEPT,top_degree,10,10.0,5.4,5.800000000000001,255,104,0.005047538239173172
validated,state,LOCATION,top_degree,10,10.0,5.4,5.800000000000001,261,105,0.003366770443174537
validated,ladakh,LOCATION,top_degree,10,11.0,5.4,5.800000000000001,264,103,0.006472991198584799
validated,tarangpur,CONCEPT,top_degree,10,10.0,5.4,5.800000000000001,255,105,0.004972686393179528
validated,china,LOCATION,top_degree,9,10.0,5.4,5.800000000000001,262,103,0.00394443361722964
validated,water,CONCEPT,top_degree,8,8.0,5.4,5.800000000000001,252,101,0.0064170920876844145
validated,irrigation,CONCEPT,top_degree,7,7.0,5.4,5.800000000000001,252,102,0.006170445013984116
validated,yak,COMMODITY,top_degree,6,6.0,5.4,5.800000000000001,251,99,0.006160602440614754
validated,nepal government,GROUP,top_degree,6,6.0,5.4,5.800000000000001,268,99,0.001652244621633249
validated,bhotias,GROUP,top_degree,5,7.0,5.4,5.800000000000001,270,97,0.001098883242420301
validated_probable,salt,COMMODITY,top_degree,27,29.0,5.4,5.800000000000001,271,129,0.017586496026815814
validated_probable,tibet,LOCATION,degree_strength_matched,22,25.0,5.4,5.800000000000001,260,127,0.02010654315831372
validated_probable,tarangpurians,CONCEPT,top_degree,19,22.0,5.4,5.800000000000001,283,122,0.010826815308978985
validated_probable,tibetans,GROUP,top_degree,18,20.0,5.4,5.800000000000001,300,122,0.007219771685995864
validated_probable,kashmir,LOCATION,top_degree,17,17.0,5.4,5.800000000000001,278,124,0.011692908326996147
validated_probable,state,LOCATION,top_degree,11,11.0,5.4,5.800000000000001,307,119,0.00305387851893673
validated_probable,ladakh,LOCATION,top_degree,11,12.0,5.4,5.800000000000001,310,117,0.00603251630483622
validated_probable,tarangpur,CONCEPT,top_degree,11,11.0,5.4,5.800000000000001,301,119,0.004435759214167015
validated_probable,aldat,CONCEPT,top_degree,10,10.0,5.4,5.800000000000001,301,117,0.004483354231184344
validated_probable,china,LOCATION,top_degree,9,10.0,5.4,5.800000000000001,307,116,0.0038649844303527067
validated_probable,water,CONCEPT,top_degree,8,8.0,5.4,5.800000000000001,299,114,0.005375482912974697
validated_probable,irrigation,CONCEPT,top_degree,7,7.0,5.4,5.800000000000001,298,115,0.005375735997410834
validated_probable,shamma,PERSON,top_degree,7,7.0,5.4,5.800000000000001,313,114,0.0016524076335576038
validated_probable,yak,COMMODITY,top_degree,6,6.0,5.4,5.800000000000001,295,112,0.005864903190781354
validated_probable,himalayan farmers,GROUP,top_degree,6,6.0,5.4,5.800000000000001,314,113,0.001763422439576355
validated_no_concept,salt,COMMODITY,top_degree,22,24.0,4.4,4.800000000000001,72,97,0.018993236942081246
validated_no_concept,tibet,LOCATION,degree_strength_matched,19,22.0,4.4,4.800000000000001,60,95,0.021137566940881324
validated_no_concept,tibetans,GROUP,top_degree,8,10.0,4.4,4.800000000000001,102,84,0.0041846902136090935
validated_no_concept,ladakh,LOCATION,top_degree,7,8.0,4.4,4.800000000000001,99,84,0.004870807918862276
validated_no_concept,china,LOCATION,top_degree,6,7.0,4.4,4.800000000000001,102,83,0.0033814284108413598
validated_no_concept,state,LOCATION,top_degree,6,6.0,4.4,4.800000000000001,108,84,9.349191784960992e-05
validated_no_concept,yak,COMMODITY,top_degree,5,5.0,4.4,4.800000000000001,104,82,0.002045227279413614
validated_no_concept,nepal government,GROUP,top_degree,5,5.0,4.4,4.800000000000001,103,82,0.002826100754821974
validated_no_concept,rupshu,LOCATION,top_degree,4,6.0,4.4,4.800000000000001,106,80,0.003340191671044407
validated_no_concept,barley,COMMODITY,top_degree,4,4.0,4.4,4.800000000000001,106,80,0.001977632650669199
validated_no_concept,pashm,COMMODITY,top_degree,4,5.0,4.4,4.800000000000001,103,81,0.0026933025744314415
validated_no_concept,kashmir,LOCATION,top_degree,4,4.0,4.4,4.800000000000001,104,82,0.0018848383109470318
validated_no_concept,traders,GROUP,top_degree,4,4.0,4.4,4.800000000000001,108,82,-7.519109930117368e-05
validated_no_concept,russia,LOCATION,top_degree,4,5.0,4.4,4.800000000000001,104,80,0.0026619477079545817
validated_no_concept,tea,COMMODITY,top_degree,4,4.0,4.4,4.800000000000001,105,81,0.0014612627390871921
validated_probable_no_concept,salt,COMMODITY,top_degree,22,24.0,4.4,4.800000000000001,90,110,0.016516538136510283
validated_probable_no_concept,tibet,LOCATION,degree_strength_matched,19,22.0,4.4,4.800000000000001,72,108,0.019277080507750666
validated_probable_no_concept,tibetans,GROUP,top_degree,11,13.0,4.4,4.800000000000001,121,100,0.00480431838741871
validated_probable_no_concept,state,LOCATION,top_degree,7,7.0,4.4,4.800000000000001,130,98,0.0001110087166610596
validated_probable_no_concept,ladakh,LOCATION,top_degree,7,8.0,4.4,4.800000000000001,119,97,0.004360502387343805
validated_probable_no_concept,shamma,PERSON,top_degree,7,7.0,4.4,4.800000000000001,124,97,0.002245651781039096
validated_probable_no_concept,china,LOCATION,top_degree,6,7.0,4.4,4.800000000000001,123,96,0.003009598758785585
validated_probable_no_concept,yak,COMMODITY,top_degree,5,5.0,4.4,4.800000000000001,124,95,0.0022281314964672713
validated_probable_no_concept,barley,COMMODITY,top_degree,5,5.0,4.4,4.800000000000001,127,94,0.002199847152230601
validated_probable_no_concept,nepal government,GROUP,top_degree,5,5.0,4.4,4.800000000000001,125,95,0.0022184913151227018
validated_probable_no_concept,kashmir,LOCATION,top_degree,4,4.0,4.4,4.800000000000001,124,95,0.002066664453373522
validated_probable_no_concept,goloks,GROUP,top_degree,4,4.0,4.4,4.800000000000001,126,95,0.0017687077196674034
validated_probable_no_concept,government of india,GROUP,top_degree,4,4.0,4.4,4.800000000000001,126,95,0.001776300090370983
validated_probable_no_concept,russia,LOCATION,top_degree,4,5.0,4.4,4.800000000000001,126,93,0.002237487370674869
validated_probable_no_concept,tea,COMMODITY,top_degree,4,4.0,4.4,4.800000000000001,127,94,0.0011473578978905136
validated_trade_only,salt,COMMODITY,top_degree,21,22.0,4.2,4.4,114,83,0.01893592206040956
validated_trade_only,tarangpurians,CONCEPT,top_degree,16,19.0,4.2,4.4,97,81,0.01778804111374782
validated_trade_only,tibet,LOCATION,top_degree,12,15.0,4.2,4.4,101,78,0.015284696769172122
validated_trade_only,aldat,CONCEPT,top_degree,10,10.0,4.2,4.4,122,76,0.00706840254684455
validated_trade_only,water,CONCEPT,top_degree,7,7.0,4.2,4.4,120,73,0.006449835722597108
validated_trade_only,yak,COMMODITY,top_degree,6,6.0,4.2,4.4,118,71,0.008310829789203764
validated_trade_only,china,LOCATION,top_degree,6,6.0,4.2,4.4,132,72,0.00276251866330509
validated_trade_only,irrigation,CONCEPT,top_degree,6,6.0,4.2,4.4,130,73,0.0028665742127544566
validated_trade_only,tibetans,GROUP,top_degree,5,5.0,4.2,4.4,133,71,0.002599731042040393
validated_trade_only,tarangpur,CONCEPT,top_degree,5,5.0,4.2,4.4,137,72,-0.00010248505248781903
validated_trade_only,tea,COMMODITY,top_degree,5,5.0,4.2,4.4,132,71,0.002316977240881035
validated_trade_only,bhotias,GROUP,top_degree,5,7.0,4.2,4.4,135,69,0.001971733861267415
validated_trade_only,food,CONCEPT,top_degree,4,4.0,4.2,4.4,134,70,0.0016068185194012194
validated_trade_only,camels,CONCEPT,top_degree,4,4.0,4.2,4.4,130,70,0.0024107186945299397
validated_trade_only,abdu rehim,CONCEPT,top_degree,4,4.0,4.2,4.4,134,70,0.0011667733620489215
validated_probable_trade_only,salt,COMMODITY,top_degree,21,22.0,4.2,4.4,133,101,0.015793786082117556
validated_probable_trade_only,tarangpurians,CONCEPT,degree_strength_matched,17,20.0,4.2,4.4,114,100,0.015017120126063113
validated_probable_trade_only,tibet,LOCATION,top_degree,12,15.0,4.2,4.4,113,96,0.014349811446915758
validated_probable_trade_only,aldat,CONCEPT,top_degree,10,10.0,4.2,4.4,141,94,0.005886240259343825
validated_probable_trade_only,water,CONCEPT,top_degree,7,7.0,4.2,4.4,140,91,0.005019559740852941
validated_probable_trade_only,shamma,PERSON,top_degree,7,7.0,4.2,4.4,151,91,0.0021998249259932157
validated_probable_trade_only,yak,COMMODITY,top_degree,6,6.0,4.2,4.4,135,89,0.007398264893466573
validated_probable_trade_only,tibetans,GROUP,top_degree,6,6.0,4.2,4.4,152,90,0.0025261096406248434
validated_probable_trade_only,china,LOCATION,top_degree,6,6.0,4.2,4.4,152,90,0.0021736860488795057
validated_probable_trade_only,irrigation,CONCEPT,top_degree,6,6.0,4.2,4.4,150,91,0.002259865430555473
validated_probable_trade_only,barley,COMMODITY,top_degree,5,5.0,4.2,4.4,153,88,0.0036483150943063605
validated_probable_trade_only,cherdon,CONCEPT,top_degree,5,5.0,4.2,4.4,151,90,0.0020689756006221985
validated_probable_trade_only,himalayan farmers,GROUP,top_degree,5,5.0,4.2,4.4,153,89,0.0020799498734346
validated_probable_trade_only,tea,COMMODITY,top_degree,5,5.0,4.2,4.4,152,89,0.001819880151898011
validated_probable_trade_only,bhotias,GROUP,top_degree,5,7.0,4.2,4.4,155,87,0.0015128422415639636
