view,commodity,present,degree,strength,betweenness_lcc,pagerank,in_lcc
validated,salt,True,27,29.0,0.46468042458202347,0.02168572156843536,True
validated,wool,True,4,4.0,0.012769349915721378,0.003099498153981043,True
validated,pashm,True,4,5.0,0.02927429274292743,0.0036436258752168024,True
validated,grain,True,3,3.0,0.014732813994806615,0.0030082065118505696,True
validated,barley,True,4,4.0,0.15168329461072388,0.0029824987689122846,True
validated,tea,True,5,5.0,0.038622386223862236,0.0042746062042423065,True
validated,borax,False,0,0,0,0,False
validated_probable,salt,True,27,29.0,0.46078606432156893,0.018528475675603614,True
validated_probable,wool,True,4,4.0,0.010548313923113041,0.002649543819266634,True
validated_probable,pashm,True,4,5.0,0.05545304842965696,0.0031871950844955662,True
validated_probable,grain,True,3,3.0,0.01255877626331766,0.0025686361539870375,True
validated_probable,barley,True,5,5.0,0.15866780416509604,0.0032489258998568246,True
validated_probable,tea,True,5,5.0,0.03382735154653493,0.0036326469210781107,True
validated_probable,borax,False,0,0,0,0,False
validated_no_concept,salt,True,22,24.0,0.5922529830129901,0.031474346753016386,True
validated_no_concept,wool,True,2,2.0,0.0,0.0029830007062070195,True
validated_no_concept,pashm,True,4,5.0,0.07317933345089049,0.006185803541223746,True
validated_no_concept,grain,True,2,2.0,0,0.004978734515150987,False
validated_no_concept,barley,True,4,4.0,0.101686945277141,0.005302247998499353,True
validated_no_concept,tea,True,4,4.0,0.04196790689472756,0.005769390067995292,True
validated_no_concept,borax,False,0,0,0,0,False
validated_probable_no_concept,salt,True,22,24.0,0.5601582687338501,0.025896894055638244,True
validated_probable_no_concept,wool,True,2,2.0,0.0,0.002449697580450789,True
validated_probable_no_concept,pashm,True,4,5.0,0.11809593023255814,0.005243813236836459,True
validated_probable_no_concept,grain,True,2,2.0,0,0.0036365423362327426,False
validated_probable_no_concept,barley,True,5,5.0,0.12750322997416022,0.005511858156956606,True
validated_probable_no_concept,tea,True,4,4.0,0.035549903100775194,0.004726254375088575,True
validated_probable_no_concept,borax,False,0,0,0,0,False
validated_trade_only,salt,True,21,22.0,0.660838779956427,0.02856453509578701,True
validated_trade_only,wool,True,3,3.0,0.029302832244008713,0.0046836342395329975,True
validated_trade_only,pashm,True,4,4.0,0.057843137254901957,0.005386933626403994,True
validated_trade_only,grain,True,3,3.0,0.029302832244008713,0.005087194483386925,True
validated_trade_only,barley,True,4,4.0,0.25119825708061,0.005140452367973782,True
validated_trade_only,tea,True,5,5.0,0.06132897603485839,0.0071194195655356705,True
validated_trade_only,borax,False,0,0,0,0,False
validated_probable_trade_only,salt,True,21,22.0,0.6469120485249518,0.02381628477386878,True
validated_probable_trade_only,wool,True,3,3.0,0.02555831265508685,0.0038952231807372595,True
validated_probable_trade_only,pashm,True,4,4.0,0.11058726220016543,0.004507790705002672,True
validated_probable_trade_only,grain,True,3,3.0,0.02555831265508685,0.004227260158455015,True
validated_probable_trade_only,barley,True,5,5.0,0.27351805900193,0.005430340866912262,True
validated_probable_trade_only,tea,True,5,5.0,0.05339123242349049,0.005918436399116861,True
validated_probable_trade_only,borax,False,0,0,0,0,False
