view,seed,modularity,communities
validated,0,0.7980315936733888,22
validated,1,0.7987436104216696,22
validated,2,0.798445109371322,23
validated,3,0.7967333154918913,23
validated,4,0.7992537921269117,23
validated,5,0.7994645777261828,23
validated,6,0.7976641733400522,22
validated,7,0.7993867078869616,25
validated,8,0.7984008041179719,24
validated,9,0.7990443491110756,22
validated,10,0.7993298718548865,21
validated,11,0.7980723187042459,21
validated,12,0.799049719444815,23
validated,13,0.7974238509052145,20
validated,14,0.7969347030071184,22
validated,15,0.7986026391610107,22
validated,16,0.7995974934862327,23
validated,17,0.7998002235848947,23
validated,18,0.7986746911386808,22
validated,19,0.7954569661731629,22
validated_probable,0,0.8113193195343051,24
validated_probable,1,0.8098688704543895,21
validated_probable,2,0.8078882057982169,24
validated_probable,3,0.808168601095928,23
validated_probable,4,0.81069626030229,26
validated_probable,5,0.809665285570679,25
validated_probable,6,0.8074463594846693,23
validated_probable,7,0.8105441309386382,25
validated_probable,8,0.809767823744709,22
validated_probable,9,0.8107719521180285,25
validated_probable,10,0.810749953018873,24
validated_probable,11,0.8118838387906013,23
validated_probable,12,0.8090757842865283,27
validated_probable,13,0.8088796567245653,22
validated_probable,14,0.8094195668190943,25
validated_probable,15,0.8114736860944812,24
validated_probable,16,0.810330105804481,23
validated_probable,17,0.8081473477289473,24
validated_probable,18,0.8092096432118983,24
validated_probable,19,0.8094986144296193,24
validated_no_concept,0,0.7115176437253434,15
validated_no_concept,1,0.7166106029453433,13
validated_no_concept,2,0.7121279269984961,13
validated_no_concept,3,0.7108092792118628,13
validated_no_concept,4,0.7109436868374975,12
validated_no_concept,5,0.7131595963412065,14
validated_no_concept,6,0.7088149606585247,14
validated_no_concept,7,0.7108855646210068,14
validated_no_concept,8,0.7061050123146446,14
validated_no_concept,9,0.7158840752392093,13
validated_no_concept,10,0.7131595963412065,14
validated_no_concept,11,0.7105658924303078,14
validated_no_concept,12,0.7125347825139312,14
validated_no_concept,13,0.713065147739409,14
validated_no_concept,14,0.7125856394533605,14
validated_no_concept,15,0.7101445063607501,13
validated_no_concept,16,0.7119353971563706,14
validated_no_concept,17,0.710464178551449,12
validated_no_concept,18,0.7141549392986102,12
validated_no_concept,19,0.7125202519598085,14
validated_probable_no_concept,0,0.7287080301813342,16
validated_probable_no_concept,1,0.7301443990408574,14
validated_probable_no_concept,2,0.73106484765696,16
validated_probable_no_concept,3,0.7325803633720078,15
validated_probable_no_concept,4,0.7280103653067087,15
validated_probable_no_concept,5,0.7281774531128166,15
validated_probable_no_concept,6,0.7290070294133166,14
validated_probable_no_concept,7,0.7288106279570145,16
validated_probable_no_concept,8,0.7289982353182582,15
validated_probable_no_concept,9,0.7314517878395254,13
validated_probable_no_concept,10,0.7296959001928838,15
validated_probable_no_concept,11,0.7284266191394685,14
validated_probable_no_concept,12,0.727816895215426,15
validated_probable_no_concept,13,0.7297545274932725,14
validated_probable_no_concept,14,0.7281246885424667,15
validated_probable_no_concept,15,0.7318123457369159,16
validated_probable_no_concept,16,0.7247712069602331,15
validated_probable_no_concept,17,0.7322022172845007,15
validated_probable_no_concept,18,0.7292737836300852,14
validated_probable_no_concept,19,0.7318123457369159,16
validated_trade_only,0,0.7773722933477981,18
validated_trade_only,1,0.7859673997499377,18
validated_trade_only,2,0.7853076876357383,17
validated_trade_only,3,0.7840835551571685,19
validated_trade_only,4,0.7804488555565562,17
validated_trade_only,5,0.7803985917764267,17
validated_trade_only,6,0.7850019163066174,18
validated_trade_only,7,0.7873685026210467,16
validated_trade_only,8,0.7871705889867868,17
validated_trade_only,9,0.7909592214140457,17
validated_trade_only,10,0.7869150814377954,17
validated_trade_only,11,0.7855296859979769,17
validated_trade_only,12,0.7812090952310144,16
validated_trade_only,13,0.7911833141004564,17
validated_trade_only,14,0.7868784307647844,17
validated_trade_only,15,0.788130836619677,17
validated_trade_only,16,0.7837170484270578,18
validated_trade_only,17,0.7888251050827153,18
validated_trade_only,18,0.786626064702051,18
validated_trade_only,19,0.7831610053593755,16
validated_probable_trade_only,0,0.7994674551914037,18
validated_probable_trade_only,1,0.7930585726636685,18
validated_probable_trade_only,2,0.7948040554776556,19
validated_probable_trade_only,3,0.7905011951380766,20
validated_probable_trade_only,4,0.7982523376028945,18
validated_probable_trade_only,5,0.7944589548172419,18
validated_probable_trade_only,6,0.7981097565405657,20
validated_probable_trade_only,7,0.7946723723309188,19
validated_probable_trade_only,8,0.7912722226662113,18
validated_probable_trade_only,9,0.7902369206849703,18
validated_probable_trade_only,10,0.7995401079620171,19
validated_probable_trade_only,11,0.7997744131472454,19
validated_probable_trade_only,12,0.7946787294483475,19
validated_probable_trade_only,13,0.791248610515762,18
validated_probable_trade_only,14,0.7978491147259901,17
validated_probable_trade_only,15,0.7975357996527198,17
validated_probable_trade_only,16,0.7925127687244353,19
validated_probable_trade_only,17,0.7989706918723346,19
validated_probable_trade_only,18,0.798696427663269,20
validated_probable_trade_only,19,0.7974404428912897,17
