view,run,removed,degree,strength,largest_component_nodes,components,global_efficiency_loss
validated,1,mandi rock salt,1,1.0,272,96,-0.00023485309472377064
validated,2,manufactured goods,2,2.0,269,97,0.0008499237405546339
validated,3,goats,1,1.0,271,96,0.00019341700969860431
validated,4,milk,1,1.0,271,96,0.0001655888592253102
validated,5,british capital,1,1.0,272,96,-0.0002348530947238192
validated,6,thousands and thousands of sheep,1,1.0,271,96,0.00018433217335944024
validated,7,sheep and goats or horses,1,1.0,271,96,0.0002477533880831523
validated,8,tea,5,5.0,267,99,0.0017721905185330636
validated,9,their salt onward to leh,1,1.0,272,96,-0.00023485309472377064
validated,10,mining and minerals,1,1.0,271,96,0.0002864180189323523
validated,11,chang-luk sheep,1,1.0,272,96,-0.00023485309472380533
validated,12,sheep,1,1.0,272,96,-0.00023485309472377064
validated,13,indian salt,1,1.0,272,96,-0.00023485309472380533
validated,14,dried apricots,1,1.0,272,96,-0.0002348530947238192
validated,15,a young yak,1,1.0,271,96,7.166421339702134e-05
validated,16,pack-horses,1,1.0,272,96,-0.00023485309472377064
validated,17,salt and livestock products,2,2.0,272,97,-0.0001981129477631599
validated,18,coarse wool,1,1.0,272,96,-0.00023485309472380533
validated,19,horses,2,2.0,266,97,0.0012284629257091687
validated,20,a young yak,1,1.0,271,96,7.166421339702134e-05
validated,21,movement of goods,1,1.0,272,96,-0.00023485309472377064
validated,22,foodgrains,3,3.0,272,98,-0.00020679698249932016
validated,23,chang-luk sheep,1,1.0,272,96,-0.00023485309472380533
validated,24,"their cattle, on their sheep and goats",1,1.0,272,96,-0.00023485309472377064
validated,25,wool,4,4.0,270,97,0.0006830713544638684
validated,26,tibetan salt trade,1,1.0,272,96,-0.00023485309472380533
validated,27,woolen goods,1,1.0,272,96,-0.00021748502525148483
validated,28,woolen goods,1,1.0,272,96,-0.00021748502525148483
validated,29,mining and minerals,1,1.0,271,96,0.0002864180189323523
validated,30,chang-luk sheep,1,1.0,272,96,-0.00023485309472380533
validated,31,thousanns of mules,1,1.0,272,96,-0.00023485309472377064
validated,32,mining and minerals,1,1.0,271,96,0.0002864180189323523
validated,33,goats,1,1.0,271,96,0.00019341700969860431
validated,34,british capital,1,1.0,272,96,-0.0002348530947238192
validated,35,tibetan salt trade,1,1.0,272,96,-0.00023485309472380533
validated,36,"10,000 maunds of wood annually",1,1.0,272,96,-0.00023084507869178955
validated,37,clothes,1,1.0,272,96,-0.00023084507869170628
validated,38,grain,3,3.0,269,98,0.0008192863530033095
validated,39,goose,1,1.0,272,96,-0.0002261690599876659
validated,40,salt and livestock products,2,2.0,272,97,-0.0001981129477631599
validated,41,salt circuit,1,1.0,271,96,7.378562794331522e-05
validated,42,goods,2,3.0,271,96,0.00030666168085932005
validated,43,wool,4,4.0,270,97,0.0006830713544638684
validated,44,thousanns of mules,1,1.0,272,96,-0.00023485309472377064
validated,45,butter,2,2.0,271,96,0.00020495437013390294
validated,46,clothes,1,1.0,272,96,-0.00023084507869170628
validated,47,clothes to wear,1,1.0,271,96,9.427615945568207e-05
validated,48,salt from the lakes in trucks,1,1.0,272,96,-0.00023485309472380533
validated,49,mining and minerals,1,1.0,271,96,0.0002864180189323523
validated,50,thousanns of mules,1,1.0,272,96,-0.00023485309472377064
validated,51,wheat,1,1.0,271,96,0.00015151155376509629
validated,52,grains,1,1.0,272,96,-0.00023485309472380533
validated,53,salt mining in the punjab,1,1.0,272,96,-0.00023485309472377064
validated,54,tea,5,5.0,267,99,0.0017721905185330636
validated,55,movement of goods,1,1.0,272,96,-0.00023485309472377064
validated,56,coarse wool,1,1.0,272,96,-0.00023485309472380533
validated,57,"their cattle, on their sheep and goats",1,1.0,272,96,-0.00023485309472377064
validated,58,chang-luk sheep,1,1.0,272,96,-0.00023485309472380533
validated,59,salt and wool,1,1.0,272,96,-0.00021748502525148483
validated,60,distribution of salt,1,1.0,272,96,-0.00023485309472380533
validated,61,tsakhalho: salt production and the preservation of a catholic church,1,1.0,272,96,-0.00023485309472377064
validated,62,sheep and goats or horses,1,1.0,271,96,0.0002477533880831523
validated,63,foodgrains,3,3.0,272,98,-0.00020679698249932016
validated,64,salt mines,1,1.0,272,96,-0.00023084507869170628
validated,65,goods imported and expo.rtoa,1,1.0,272,96,-0.0002221610439555599
validated,66,mining and minerals,1,1.0,271,96,0.0002864180189323523
validated,67,duties on goods imported and expo.rtoa,1,1.0,272,96,-0.0002221610439555599
validated,68,their salt onward to leh,1,1.0,272,96,-0.00023485309472377064
validated,69,livestock,2,2.0,271,96,0.0002516450653216179
validated,70,"sugar, tea, stearine candles, petroleum, leather trunks, saddles, and so forth",1,1.0,271,96,7.921721197581832e-06
validated,71,clothes to wear,1,1.0,271,96,9.427615945568207e-05
validated,72,"sugar, tea, stearine candles, petroleum, leather trunks, saddles, and so forth",1,1.0,271,96,7.921721197581832e-06
validated,73,charas,1,1.0,271,96,7.299828346851028e-05
validated,74,thousanns of mules,1,1.0,272,96,-0.00023485309472377064
validated,75,livestock,2,2.0,271,96,0.0002516450653216179
validated,76,salt market,1,1.0,271,96,0.00012127937223018609
validated,77,tsakhalho: salt production and the preservation of a catholic church,1,1.0,272,96,-0.00023485309472377064
validated,78,long dagger,1,1.0,271,96,0.00019314980862980557
validated,79,punjab salt mines,1,1.0,272,96,-0.00023485309472377064
validated,80,pashm,4,5.0,267,98,0.0018730137211597914
validated,81,buckets,1,1.0,272,96,-0.00022616905998762427
validated,82,thousands and thousands of sheep,1,1.0,271,96,0.00018433217335944024
validated,83,wool,4,4.0,270,97,0.0006830713544638684
validated,84,the sheep,1,1.0,271,96,0.00018433217335924595
validated,85,salt and livestock products,2,2.0,272,97,-0.0001981129477631599
validated,86,the mandi salt mines,1,1.0,271,96,7.299828346845477e-05
validated,87,long dagger,1,1.0,271,96,0.00019314980862980557
validated,88,manufactured goods,2,2.0,269,97,0.0008499237405546339
validated,89,salt production,1,1.0,272,96,-0.00023485309472377064
validated,90,salt and livestock products,2,2.0,272,97,-0.0001981129477631599
validated,91,"10,000 maunds of wood annually",1,1.0,272,96,-0.00023084507869178955
validated,92,thousands and thousands of sheep,1,1.0,271,96,0.00018433217335944024
validated,93,clothes,1,1.0,272,96,-0.00023084507869170628
validated,94,thousanns of mules,1,1.0,272,96,-0.00023485309472377064
validated,95,salt mines,1,1.0,272,96,-0.00023084507869170628
validated,96,long dagger,1,1.0,271,96,0.00019314980862980557
validated,97,four horses,1,1.0,271,96,3.072271223496237e-05
validated,98,tibetan salt,1,1.0,272,96,-0.00023485309472377064
validated,99,tsakhalho: salt production and the preservation of a catholic church,1,1.0,272,96,-0.00023485309472377064
validated,100,mining and minerals,1,1.0,271,96,0.0002864180189323523
validated_probable,1,kiraiya-kash; way of life of the kiraiyakash,1,1.0,319,109,-0.00019206280001601156
validated_probable,2,wool,4,4.0,317,110,0.0005682751562803567
validated_probable,3,refined salt,1,1.0,319,109,-0.00019206280001601156
validated_probable,4,movement of goods,1,1.0,319,109,-0.00019206280001601156
validated_probable,5,barley,5,5.0,315,111,0.0027800164796809856
validated_probable,6,chang-luk sheep,2,2.0,317,110,0.00034708660568522065
validated_probable,7,goods imported and expo.rtoa,1,1.0,319,109,-0.00018147565627329998
validated_probable,8,chang-pa goats,1,1.0,319,109,-0.0001920628000159838
validated_probable,9,butter,2,2.0,318,109,0.00017382905439069368
validated_probable,10,chang-thang sheep's wool,1,1.0,318,109,0.00010760961600824598
validated_probable,11,british capital,1,1.0,319,109,-0.0001920628000159838
validated_probable,12,pack-horses,1,1.0,319,109,-0.00019206280001601156
validated_probable,13,mandi salt sources,1,1.0,318,109,0.00015760668360680768
validated_probable,14,dried apricots,1,1.0,319,109,-0.00019206280001599074
validated_probable,15,thousands and thousands of sheep,1,1.0,318,109,0.00015823020429188428
validated_probable,16,salt mining in the punjab,1,1.0,319,109,-0.00019206280001601156
validated_probable,17,"agricultural advances, chiefly seed-grain",1,1.0,318,109,0.00015327557934862596
validated_probable,18,the salt from this place,1,1.0,319,109,-0.0001920628000159838
validated_probable,19,tibetan rock salt,1,1.0,319,109,-0.0001920628000159838
validated_probable,20,thousands and thousands of sheep,1,1.0,318,109,0.00015823020429188428
validated_probable,21,semi-luxuries like tea and rice,1,1.0,318,109,0.000253500331785568
validated_probable,22,their salt onward to leh,1,1.0,319,109,-0.00019206280001601156
validated_probable,23,british capital,1,1.0,319,109,-0.0001920628000159838
validated_probable,24,salt production,1,1.0,319,109,-0.00019206280001601156
validated_probable,25,a young yak,1,1.0,318,109,6.547088974542814e-05
validated_probable,26,clothes to wear,1,1.0,318,109,8.309856580496905e-05
validated_probable,27,salt market,1,1.0,318,109,0.0001037068306703609
validated_probable,28,salt market,1,1.0,318,109,0.0001037068306703609
validated_probable,29,chang-thang sheep's wool,1,1.0,318,109,0.00010760961600824598
validated_probable,30,british capital,1,1.0,319,109,-0.0001920628000159838
validated_probable,31,tsakhalho: salt production and the preservation of a catholic church,1,1.0,319,109,-0.00019206280001601156
validated_probable,32,chang-thang sheep's wool,1,1.0,318,109,0.00010760961600824598
validated_probable,33,refined salt,1,1.0,319,109,-0.00019206280001601156
validated_probable,34,barley,5,5.0,315,111,0.0027800164796809856
validated_probable,35,clothes to wear,1,1.0,318,109,8.309856580496905e-05
validated_probable,36,"10,000 maunds of wood annually",1,1.0,319,109,-0.00018917539717706877
validated_probable,37,water of salt lakes,1,1.0,319,109,-0.00018532552672519131
validated_probable,38,salt from the lakes in trucks,1,1.0,319,109,-0.0001920628000159838
validated_probable,39,"sugar, tea, stearine candles, petroleum, leather trunks, saddles, and so forth",1,1.0,318,109,8.222239239484563e-06
validated_probable,40,"agricultural advances, chiefly seed-grain",1,1.0,318,109,0.00015327557934862596
validated_probable,41,cloth,2,2.0,318,109,0.00018389100747241705
validated_probable,42,grain-salt-rice circuit,1,1.0,318,109,0.000253500331785568
validated_probable,43,a young yak,1,1.0,318,109,6.547088974542814e-05
validated_probable,44,tsakhalho: salt production and the preservation of a catholic church,1,1.0,319,109,-0.00019206280001601156
validated_probable,45,fish,2,3.0,319,110,-0.0001623225507750431
validated_probable,46,water of salt lakes,1,1.0,319,109,-0.00018532552672519131
validated_probable,47,mining and minerals,1,1.0,318,109,0.00024279381705960557
validated_probable,48,salt circuit,1,1.0,318,109,6.392829742282724e-05
validated_probable,49,"pashm, or 'cashmere",1,1.0,319,109,-0.0001920628000159838
validated_probable,50,chang-thang sheep's wool,1,1.0,318,109,0.00010760961600824598
validated_probable,51,tsakhalho: salt production and the preservation of a catholic church,1,1.0,319,109,-0.00019206280001601156
validated_probable,52,sheep and goats or horses,1,1.0,318,109,0.00020927015346427352
validated_probable,53,manufactured goods,2,2.0,316,110,0.0007172254005150536
validated_probable,54,salt mines,2,2.0,319,110,-0.00017377591536948261
validated_probable,55,chang-pa goats,1,1.0,319,109,-0.0001920628000159838
validated_probable,56,semi-luxuries like tea and rice,1,1.0,318,109,0.000253500331785568
validated_probable,57,rice,1,1.0,318,109,0.00015823020429186346
validated_probable,58,the salt from this place,1,1.0,319,109,-0.0001920628000159838
validated_probable,59,salt production,1,1.0,319,109,-0.00019206280001601156
validated_probable,60,british capital,1,1.0,319,109,-0.0001920628000159838
validated_probable,61,sugarcane and tobacco cultivation,1,1.0,318,109,8.80938784821178e-05
validated_probable,62,the mandi salt mines,1,1.0,318,109,6.974726828106598e-05
validated_probable,63,foodgrains,3,3.0,319,111,-0.00017185098014360634
validated_probable,64,mining and minerals,1,1.0,318,109,0.00024279381705960557
