node,weighted_degree,weighted_in_degree,weighted_out_degree,pagerank,betweenness,closeness,eigenvector
'medicine' in the lake,1.0,1.0,0,0.00024053839257413481,0.0,0.0003002101471029721,3.729910857450967e-37
'private enterprise' irrigation,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
"'since he may legitimately be thwarted by any method short of a knife-thrust, this is not as easy as it sounds'",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
"100 routes including 36 to, from or within ladakh",1.0,1.0,0,0.0003722186507889732,0.0,0.0004503152206544581,3.4502986281469634e-07
100 to 200 per cent,1.0,1.0,0,0.00021807789220406812,0.0,0.0003002101471029721,0.0003929369851772676
"105,291 in 1971",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
14th century or so,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
1630s,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.818261828826402e-42
164,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
1642,2.0,2.0,0,0.0002280324352857372,0.0,0.0006004202942059442,0.0013858256834124276
"17,000 hectares",1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.818261828826402e-42
1839,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
1928,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
1949,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
1950s,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
1953,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
1962,1.0,1.0,0,0.00031197842908873994,0.0,0.013665264957903841,0.004890236389502859
1964,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
1976,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
1977,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
1978,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
1991 census,1.0,0,1.0,0.00020559983644291994,0.0,0.0,4.818261828826402e-42
1994,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
1995,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
200-300 grams of pashm annually,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
2000 tonnes,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
24 teams in the field,1.0,1.0,0,0.000234715299885599,0.0,0.0003002101471029721,2.578421367283395e-05
30 per cent,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
3000 metres,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
"4, 133-5",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
400 lakh,2.0,2.0,0,0.0005549853977550687,0.0,0.0006004202942059442,8.194419496924599e-45
4300 metres,1.0,1.0,0,0.0003602943203274233,0.0,0.0006822957888703911,0.0004162886022260172
4500 metres,1.0,1.0,0,0.00033017113260003087,0.0,0.0004002801961372961,4.506338807828932e-41
500-1000 tonnes,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
5500 to 6400 metres,1.0,1.0,0,0.0002421867775779404,0.0,0.0004503152206544581,2.193789486351934e-05
"60 to 70 animals, or 150 to 160 goats belonging to different owners",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
74 lakhs of rupees,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
75 per cent of all families in leh district,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
7672 metres,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
a caravan man,4.0,0,4.0,0.00020559983644291994,0.0,0.0,1.5735120692147335e-39
a certain degree of independence,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.818261828826402e-42
a certain model of economics or technology,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
a chang-thang shepherd,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
a child,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,9.716895585067621e-05
a collection of kashmiri buddhist bronzes and a few pieces of old arms and armour,1.0,1.0,0,0.00024053839257413481,0.0,0.0003002101471029721,4.893081202719235e-38
a cow or two,1.0,1.0,0,0.0002752594110229814,0.0,0.0004503152206544581,7.23861768668752e-33
a crag,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
a desert,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
a dialect of tibetan,1.0,1.0,0,0.000529192240415289,0.0,0.0004002801961372961,5.794329594162642e-45
a famous ballad,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
a gompa just below the summit,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
a gorge,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,1.870374241278741e-06
a greater dogra empire stretching far into tibet,1.0,1.0,0,0.00024053839257413481,0.0,0.0003002101471029721,0.0038254046064712514
a group of young ladakhis,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
a jesuit mission in 1625,1.0,1.0,0,0.0003951825794306238,0.0,0.0004002801961372961,2.549185443761293e-32
a ladhaki artist,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
a lama or to share his elder brother's wife,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
a large chorten,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
a large prayer-flag-pole,1.0,1.0,0,0.00024053839257413481,0.0,0.0003002101471029721,4.893081202719235e-38
a marriage alliance,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
a modern sikh temple dedicated to guru nanak,1.0,1.0,0,0.00028462471193936594,0.0,0.00048033623536475534,2.5748514075258207e-08
a monopoly of the trade in pashm,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
"a nominally muslim area rich in buddhist survivals, and with a wealth of oral literature unsurpassed anywhere else",1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,7.51182392896425e-36
a position athwart important trade routes,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
a rabbit-warren of rooms,1.0,1.0,0,0.00022306911450852736,0.0,0.0003002101471029721,7.350706401599352e-32
a sharpened interest to the game,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
a small hill dominating the village of the same name,1.0,1.0,0,0.00024053839257413481,0.0,0.0003002101471029721,4.893081202719235e-38
a summer ride in western tibet,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
a sustainable lifestyle,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.818261828826402e-42
a symbolic purpose,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
a system of ropes made of plaited twigs suspended above the torrent,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
a universal necessity,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
a valley just off the main road down the indus,1.0,1.0,0,0.00024053839257413481,0.0,0.0003002101471029721,4.893081202719235e-38
a very chaste urdu,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
a very senior official of the government of india,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
a veterinary surgeon,1.0,1.0,0,0.00022306911450852736,0.0,0.0003002101471029721,0.0039326050462470475
a village,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
a villager from chigtan,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
abandoned gompa,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
"abdul ghani, asghar ali, and ghulam akbar",1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
abdul majid,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
abi yangzom,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
able-bodied men,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
about 2500,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
about 800 families,1.0,1.0,0,0.0002926985072998085,0.0,0.00240713954313474,0.0045827321373169885
about the same time as secmol,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
about the twelfth century,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
absorption,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
accounts a hundred years ago,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
across the polo ground,1.0,1.0,0,0.0002926985072998085,0.0,0.00240713954313474,0.0045827321373169885
"act or ceremony of worship, in buddhism and hinduism",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
activities of the hospital,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
actual founding of chemrey monastery,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
administrations of the two districts,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
administrative offices,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
administratively,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
adobe bricks or stone cemented with mud,1.0,1.0,0,0.0002492730316069385,0.0,0.0003002101471029721,1.2154335601363116e-07
advance at the defile of basgo,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
