view,node,node_type,match_type,degree,strength,degree_tolerance,strength_tolerance,largest_component_nodes,components,global_efficiency_loss
validated,tibet,LOCATION,top_degree,53,70.0,8.8,10.4,799,169,0.014092943912369843
validated,tibetans,GROUP,degree_strength_matched,52,59.0,8.8,10.4,781,178,0.017430925379907564
validated,salt,COMMODITY,top_degree,44,52.0,8.8,10.4,805,157,0.010121104330435546
validated,sherpas,CONCEPT,top_degree,26,35.0,8.8,10.4,812,162,0.006565576153795036
validated,river,LOCATION,top_degree,26,28.0,8.8,10.4,801,162,0.008584742284993174
validated,government,GROUP,top_degree,22,22.0,8.8,10.4,809,157,0.006041227306430572
validated,tarangpur,CONCEPT,top_degree,20,21.0,8.8,10.4,819,155,0.003452680585993323
validated,water,CONCEPT,top_degree,20,23.0,8.8,10.4,812,154,0.005804670798675582
validated,kashmir,LOCATION,top_degree,19,19.0,8.8,10.4,816,155,0.005082848620519151
validated,bhotias,GROUP,top_degree,19,25.0,8.8,10.4,830,146,0.0023708442415786707
validated,grain,COMMODITY,top_degree,18,18.0,8.8,10.4,826,146,0.002508639680207078
validated,thakalis,CONCEPT,top_degree,17,22.0,8.8,10.4,826,149,0.003252046714662879
validated,tarangpurians,CONCEPT,top_degree,16,19.0,8.8,10.4,828,148,0.0026472737571176103
validated,dolpo,LOCATION,top_degree,15,16.0,8.8,10.4,830,146,0.002114521041684511
validated,yak,COMMODITY,top_degree,14,15.0,8.8,10.4,829,146,0.0024144325388734122
validated_probable,tibetans,GROUP,top_degree,55,62.0,8.8,10.4,869,203,0.016103220102801213
validated_probable,tibet,LOCATION,top_degree,54,71.0,8.8,10.4,887,192,0.01335079469382923
validated_probable,salt,COMMODITY,top_degree,44,52.0,8.8,10.4,894,179,0.009328853269491635
validated_probable,sherpas,CONCEPT,top_degree,30,39.0,8.8,10.4,898,188,0.006950771134991152
validated_probable,government,GROUP,top_degree,26,26.0,8.8,10.4,902,182,0.00548740024984655
validated_probable,river,LOCATION,top_degree,26,28.0,8.8,10.4,897,183,0.007115292365408546
validated_probable,tarangpur,CONCEPT,top_degree,21,22.0,8.8,10.4,908,178,0.003440348211019892
validated_probable,water,CONCEPT,top_degree,20,23.0,8.8,10.4,904,176,0.0050783693286142045
validated_probable,kashmir,LOCATION,top_degree,20,20.0,8.8,10.4,905,178,0.004896781299574146
validated_probable,bhotias,GROUP,top_degree,20,26.0,8.8,10.4,921,169,0.0022852862070474877
validated_probable,grain,COMMODITY,top_degree,18,18.0,8.8,10.4,918,167,0.002198015488975913
validated_probable,thakalis,CONCEPT,top_degree,17,22.0,8.8,10.4,918,171,0.0028519401631938307
validated_probable,tarangpurians,CONCEPT,top_degree,17,20.0,8.8,10.4,919,171,0.002559737154800762
validated_probable,dolpo,LOCATION,top_degree,16,17.0,8.8,10.4,921,169,0.0021425378757709557
validated_probable,the river,LOCATION,top_degree,16,18.0,8.8,10.4,907,176,0.003573477875834785
validated_no_concept,tibet,LOCATION,degree_strength_matched,35,44.0,6.6000000000000005,8.0,253,123,0.015195860630131876
validated_no_concept,salt,COMMODITY,top_degree,33,40.0,6.6000000000000005,8.0,250,118,0.014731389273061009
validated_no_concept,tibetans,GROUP,degree_strength_matched,31,36.0,6.6000000000000005,8.0,248,129,0.014579098978014418
validated_no_concept,grain,COMMODITY,top_degree,15,15.0,6.6000000000000005,8.0,271,109,0.004015675232249105
validated_no_concept,government,GROUP,top_degree,14,14.0,6.6000000000000005,8.0,263,115,0.00586378696079938
validated_no_concept,tibetan salt,COMMODITY,top_degree,12,13.0,6.6000000000000005,8.0,275,108,0.002336175936793236
validated_no_concept,bhotias,GROUP,top_degree,12,16.0,6.6000000000000005,8.0,274,109,0.00283462817818414
validated_no_concept,rupshu,LOCATION,top_degree,10,13.0,6.6000000000000005,8.0,276,107,0.0020261574434104757
validated_no_concept,dolpo,LOCATION,top_degree,9,10.0,6.6000000000000005,8.0,275,108,0.00216184647932513
validated_no_concept,bhotiyas,GROUP,top_degree,9,9.0,6.6000000000000005,8.0,274,108,0.002828129813102251
validated_no_concept,yak,COMMODITY,top_degree,8,9.0,6.6000000000000005,8.0,275,108,0.0017749573962909243
validated_no_concept,kashmir,LOCATION,top_degree,8,8.0,6.6000000000000005,8.0,273,110,0.002134385278394449
validated_no_concept,ladakh,LOCATION,top_degree,8,10.0,6.6000000000000005,8.0,273,109,0.0030167157639021253
validated_no_concept,shamma,PERSON,top_degree,7,7.0,6.6000000000000005,8.0,276,107,0.0013282104756212054
validated_no_concept,garhwal,LOCATION,top_degree,7,7.0,6.6000000000000005,8.0,273,109,0.002546633230324974
validated_probable_no_concept,tibet,LOCATION,degree_strength_matched,36,45.0,6.6000000000000005,8.0,289,142,0.013900694042935924
validated_probable_no_concept,tibetans,GROUP,degree_strength_matched,33,38.0,6.6000000000000005,8.0,284,149,0.012989146978877264
validated_probable_no_concept,salt,COMMODITY,top_degree,33,40.0,6.6000000000000005,8.0,292,135,0.01168422288299785
validated_probable_no_concept,government,GROUP,top_degree,16,16.0,6.6000000000000005,8.0,300,135,0.005543940594117447
validated_probable_no_concept,grain,COMMODITY,top_degree,15,15.0,6.6000000000000005,8.0,310,126,0.0033331064073378464
validated_probable_no_concept,tibetan salt,COMMODITY,top_degree,14,15.0,6.6000000000000005,8.0,313,126,0.002277224823884677
validated_probable_no_concept,bhotias,GROUP,top_degree,13,17.0,6.6000000000000005,8.0,312,128,0.002727836030478943
validated_probable_no_concept,rupshu,LOCATION,top_degree,11,14.0,6.6000000000000005,8.0,314,126,0.0022125388517575326
validated_probable_no_concept,dolpo,LOCATION,top_degree,10,11.0,6.6000000000000005,8.0,313,127,0.0022072857941620866
validated_probable_no_concept,shamma,PERSON,top_degree,9,9.0,6.6000000000000005,8.0,313,127,0.0017960219519617127
validated_probable_no_concept,bhotiyas,GROUP,top_degree,9,9.0,6.6000000000000005,8.0,313,126,0.0024795712998557373
validated_probable_no_concept,kashmir,LOCATION,top_degree,8,8.0,6.6000000000000005,8.0,310,128,0.002215563136614619
validated_probable_no_concept,yak,COMMODITY,top_degree,8,9.0,6.6000000000000005,8.0,312,126,0.002005883909677264
validated_probable_no_concept,mandi,LOCATION,top_degree,8,8.0,6.6000000000000005,8.0,313,127,0.0016047856882878478
validated_probable_no_concept,ladakh,LOCATION,top_degree,8,10.0,6.6000000000000005,8.0,312,127,0.002560915082175548
validated_trade_only,tibet,LOCATION,top_degree,37,53.0,7.0,8.200000000000001,524,123,0.011921657858023682
validated_trade_only,salt,COMMODITY,top_degree,35,41.0,7.0,8.200000000000001,530,119,0.007123964997931678
validated_trade_only,tibetans,GROUP,top_degree,27,29.0,7.0,8.200000000000001,517,127,0.0089822734799581
validated_trade_only,river,LOCATION,top_degree,24,26.0,7.0,8.200000000000001,504,129,0.007733579544092206
validated_trade_only,grain,COMMODITY,top_degree,18,18.0,7.0,8.200000000000001,533,113,0.003379676002687848
validated_trade_only,bhotias,GROUP,top_degree,18,24.0,7.0,8.200000000000001,537,113,0.002968449107764476
validated_trade_only,water,CONCEPT,top_degree,17,20.0,7.0,8.200000000000001,516,120,0.009867127656669625
validated_trade_only,sherpas,CONCEPT,top_degree,16,23.0,7.0,8.200000000000001,530,119,0.004593240758518982
