view,type_pair,paths_through_salt
validated,CONCEPT--GROUP,17419
validated,CONCEPT--CONCEPT,17167
validated,COMMODITY--CONCEPT,14525
validated,CONCEPT--LOCATION,13739
validated,GROUP--LOCATION,6289
validated,COMMODITY--GROUP,6010
validated,COMMODITY--LOCATION,5264
validated,GROUP--GROUP,3444
validated,CONCEPT--PERSON,3248
validated,LOCATION--LOCATION,2564
validated,COMMODITY--COMMODITY,2441
validated,GROUP--PERSON,1387
validated,LOCATION--PERSON,1201
validated,COMMODITY--PERSON,1183
validated,PERSON--PERSON,133
