view,removed,present,degree,strength,largest_component_nodes,components,global_efficiency_loss
validated,salt,True,27,30.0,419,124,0.014524982376802109
validated,wool,True,4,4.0,455,106,0.0005188247525969164
validated,pashm,True,4,5.0,452,107,0.001480925382547349
validated,grain,True,3,3.0,454,107,0.0006461839052806645
validated,barley,True,4,4.0,455,106,0.0006489312541972797
validated,tea,True,7,7.0,451,109,0.001970060213431671
validated,borax,False,0,0,457,105,0.0
validated_probable,salt,True,27,30.0,478,138,0.013642466991339225
validated_probable,wool,True,4,4.0,518,120,0.0004465455205012042
validated_probable,pashm,True,4,5.0,510,121,0.0024554104829922763
validated_probable,grain,True,3,3.0,517,121,0.0005590245979779085
validated_probable,barley,True,5,5.0,516,121,0.0011484444632679502
validated_probable,tea,True,7,7.0,514,123,0.0016981886100283922
validated_probable,borax,False,0,0,520,119,0.0
validated_no_concept,salt,True,22,25.0,92,102,0.01850463517218282
validated_no_concept,wool,True,2,2.0,129,84,0.000297732810185046
validated_no_concept,pashm,True,4,5.0,125,86,0.002407784710931289
validated_no_concept,grain,True,2,2.0,130,85,-0.0002176439636698696
validated_no_concept,barley,True,4,4.0,128,85,0.001135204297296133
validated_no_concept,tea,True,4,4.0,127,86,0.0012677878285654656
validated_no_concept,borax,False,0,0,130,84,0.0
validated_probable_no_concept,salt,True,22,25.0,110,115,0.016268058439952843
validated_probable_no_concept,wool,True,2,2.0,151,97,0.00024543552394158674
validated_probable_no_concept,pashm,True,4,5.0,143,99,0.00322052260781875
validated_probable_no_concept,grain,True,2,2.0,152,98,-0.0001588266381134587
validated_probable_no_concept,barley,True,5,5.0,149,99,0.00138726349369922
validated_probable_no_concept,tea,True,4,4.0,149,99,0.0010254002945546264
validated_probable_no_concept,borax,False,0,0,152,97,0.0
validated_trade_only,salt,True,21,23.0,186,102,0.013072742873565649
validated_trade_only,wool,True,3,3.0,208,89,0.0012217020846213913
validated_trade_only,pashm,True,4,4.0,206,89,0.0019114103014760964
validated_trade_only,grain,True,3,3.0,208,89,0.0009654842987123907
validated_trade_only,barley,True,4,4.0,209,88,0.0014949061141889958
validated_trade_only,tea,True,7,7.0,205,91,0.0031967883225174493
validated_trade_only,borax,False,0,0,211,87,0.0
validated_probable_trade_only,salt,True,21,23.0,209,117,0.011422154615319466
validated_probable_trade_only,wool,True,3,3.0,232,104,0.0010223279502611024
validated_probable_trade_only,pashm,True,4,4.0,225,104,0.003044453959778072
validated_probable_trade_only,grain,True,3,3.0,232,104,0.000814925302072847
validated_probable_trade_only,barley,True,5,5.0,231,104,0.002069621870735304
validated_probable_trade_only,tea,True,7,7.0,229,106,0.0026773465090865686
validated_probable_trade_only,borax,False,0,0,235,102,0.0
