view,node,type,degree_in_lcc,salt_neighbor
validated,salt,COMMODITY,27,False
validated,barley,COMMODITY,4,True
validated,goloks,GROUP,4,True
validated,rupshu,LOCATION,4,True
validated,sheep,COMMODITY,3,False
validated,shepherds,GROUP,3,True
validated,tsakalho,LOCATION,3,False
validated,zhao erfeng,PERSON,3,True
validated,bathang,LOCATION,2,False
validated,chang-pa,GROUP,2,True
validated,chinese authorities,GROUP,2,True
validated,humlis,GROUP,2,True
validated,kharnak,LOCATION,2,False
validated,the desert,CONCEPT,2,True
validated,the lake,LOCATION,2,True
validated,tichurong people,GROUP,2,True
validated,amdowa tribes,GROUP,1,True
validated,at present,CONCEPT,1,False
validated,buddhist devotees,GROUP,1,False
validated,caravans,CONCEPT,1,False
validated,east turkestan,CONCEPT,1,False
validated,gg,CONCEPT,1,True
validated,grain-salt-rice circuit,COMMODITY,1,True
validated,jumla and botechaur,LOCATION,1,True
validated,khaltse,LOCATION,1,False
validated,kyaring tso and ngoring tso,CONCEPT,1,False
validated,lhagong monastery,CONCEPT,1,True
validated,long-distance caravans,CONCEPT,1,False
validated,ownership of tso kar,CONCEPT,1,False
validated,rice,COMMODITY,1,False
validated,salt lakes,LOCATION,1,True
validated,salter water,COMMODITY,1,False
validated,semi-luxuries like tea and rice,COMMODITY,1,True
validated,the sheep,COMMODITY,1,False
validated,the water,CONCEPT,1,True
validated,the weather,CONCEPT,1,False
validated,thousands and thousands of sheep,COMMODITY,1,False
validated,tibetan changpas,GROUP,1,True
validated,tibetan partners,GROUP,1,True
validated,traders from northwestern sichuan,GROUP,1,False
validated,tsakalho salt taxes,COMMODITY,1,False
validated,tsam tso lake,LOCATION,1,False
validated,wolves,CONCEPT,1,False
validated_probable,salt,COMMODITY,27,False
validated_probable,barley,COMMODITY,5,True
validated_probable,goloks,GROUP,5,True
validated_probable,rupshu,LOCATION,5,True
validated_probable,kharnak,LOCATION,3,False
validated_probable,the lake,LOCATION,3,True
validated_probable,tsakalho,LOCATION,3,False
validated_probable,zhao erfeng,PERSON,3,True
validated_probable,bathang,LOCATION,2,False
validated_probable,chang-pa,GROUP,2,True
validated_probable,chinese authorities,GROUP,2,True
