view,seed,modularity,communities,salt_community_size,salt_participation,salt_community_jaccard_vs_seed0
validated,0,0.8190097342790874,26,45,0.46484375,1.0
validated,1,0.8196090462378257,25,45,0.46484375,1.0
validated,2,0.8187593723569305,25,45,0.46484375,1.0
validated,3,0.8199093508232108,24,45,0.46484375,1.0
validated,4,0.8175743691657889,23,45,0.46484375,1.0
validated,5,0.8176106911026821,25,45,0.453125,1.0
validated,6,0.8197660088936857,25,45,0.46484375,1.0
validated,7,0.8186886743011919,24,45,0.46484375,1.0
validated,8,0.8189701693121144,26,45,0.46484375,1.0
validated,9,0.8189442250714764,25,45,0.46484375,1.0
validated,10,0.8200864202655652,24,45,0.46484375,1.0
validated,11,0.8198581109479507,22,45,0.46484375,1.0
validated,12,0.8194099241909288,22,45,0.46484375,1.0
validated,13,0.8196388821145594,25,45,0.46484375,1.0
validated,14,0.8182398389381541,27,45,0.46484375,1.0
validated,15,0.8171657473757401,23,67,0.330078125,0.6716417910447762
validated,16,0.8193638731637963,26,45,0.46484375,1.0
validated,17,0.8192153423861437,24,45,0.46484375,1.0
validated,18,0.818254108270505,22,45,0.46484375,1.0
validated,19,0.8199398353059605,23,45,0.46484375,1.0
validated_probable,0,0.8315540399833403,28,53,0.46484375,1.0
validated_probable,1,0.8293513119533528,26,80,0.330078125,0.6625
validated_probable,2,0.8305226988754686,27,53,0.46484375,1.0
validated_probable,3,0.8320054144106622,27,53,0.46484375,1.0
validated_probable,4,0.8306434818825489,27,53,0.46484375,1.0
validated_probable,5,0.8303769262807164,26,53,0.46484375,1.0
validated_probable,6,0.8310480008329862,26,53,0.46484375,1.0
validated_probable,7,0.8309251353602666,28,53,0.46484375,1.0
validated_probable,8,0.8314046230737193,26,49,0.5078125,0.9245283018867925
validated_probable,9,0.8294668887963349,27,49,0.5078125,0.9245283018867925
validated_probable,10,0.8304701166180758,26,53,0.46484375,1.0
validated_probable,11,0.8328082049146189,26,53,0.46484375,1.0
validated_probable,12,0.8309339858392336,26,53,0.46484375,1.0
validated_probable,13,0.8317221990837151,25,53,0.46484375,1.0
validated_probable,14,0.8311911703456893,26,53,0.46484375,1.0
