view,metric,median,min,max
validated,salt_community_size,39.0,39.0,39.0
validated,salt_participation,0.37860082304526743,0.37860082304526743,0.37860082304526743
validated,salt_community_jaccard_vs_seed0,1.0,1.0,1.0
validated_probable,salt_community_size,47.0,42.0,47.0
validated_probable,salt_participation,0.37860082304526743,0.37860082304526743,0.4334705075445817
validated_probable,salt_community_jaccard_vs_seed0,1.0,0.8936170212765957,1.0
validated_no_concept,salt_community_size,25.0,24.0,27.0
validated_no_concept,salt_participation,0.3925619834710744,0.3223140495867768,0.44628099173553715
validated_no_concept,salt_community_jaccard_vs_seed0,0.8888888888888888,0.7666666666666667,1.0
validated_probable_no_concept,salt_community_size,26.0,26.0,26.0
validated_probable_no_concept,salt_participation,0.5165289256198348,0.5082644628099173,0.5165289256198348
validated_probable_no_concept,salt_community_jaccard_vs_seed0,1.0,1.0,1.0
validated_trade_only,salt_community_size,22.0,22.0,22.0
validated_trade_only,salt_participation,0.3945578231292518,0.3945578231292518,0.3945578231292518
validated_trade_only,salt_community_jaccard_vs_seed0,1.0,1.0,1.0
validated_probable_trade_only,salt_community_size,26.0,26.0,26.0
validated_probable_trade_only,salt_participation,0.40362811791383235,0.3945578231292518,0.40362811791383235
validated_probable_trade_only,salt_community_jaccard_vs_seed0,1.0,1.0,1.0
