view,run,removed,degree,strength,largest_component_nodes,components,global_efficiency_loss
validated,1,wood,1,1.0,457,105,-0.00022811267802810842
validated,2,grain,3,3.0,454,107,0.0006461839052806645
validated,3,their salt onward to leh,1,1.0,457,105,-0.00022811267802810842
validated,4,"their cattle, on their sheep and goats",1,1.0,457,105,-0.00022811267802813617
validated,5,british capital,1,1.0,457,105,-0.00022811267802803903
validated,6,thousands and thousands of sheep,1,1.0,456,105,0.00011379583209653044
validated,7,tsakhalho: salt production and the preservation of a catholic church,1,1.0,457,105,-0.00022811267802810842
validated,8,tea,7,7.0,451,109,0.001970060213431671
validated,9,refined salt,1,1.0,457,105,-0.00022811267802810842
validated,10,sugarcane and tobacco cultivation,1,1.0,456,105,4.2662131549631166e-05
validated,11,chang-luk sheep,1,1.0,457,105,-0.0002281126780280529
validated,12,goods imported and expo.rtoa,1,1.0,457,105,-0.00022173238574349496
validated,13,clothes to wear,1,1.0,456,105,4.579273187585442e-05
validated,14,dried apricots,1,1.0,457,105,-0.00022811267802803903
validated,15,a young yak,1,1.0,456,105,0.00014201492432704133
validated,16,woolen blankets,1,1.0,456,105,0.00011836277815296947
validated,17,wooden tubes or buckets,1,1.0,457,105,-0.00022374721488600813
validated,18,coarse wool,1,1.0,457,105,-0.0002281126780280529
validated,19,distribution of salt,1,1.0,457,105,-0.0002281126780280529
validated,20,a young yak,1,1.0,456,105,0.00014201492432704133
validated,21,rice and ice,1,1.0,456,105,9.19254868462227e-05
validated,22,goats,1,1.0,456,105,0.00011836277815296947
validated,23,chang-luk sheep,1,1.0,457,105,-0.0002281126780280529
validated,24,the sheep,1,1.0,456,105,0.00011587782221053611
validated,25,wool,4,4.0,455,106,0.0005188247525969164
validated,26,grains,1,1.0,457,105,-0.0002281126780280529
validated,27,the horses,1,1.0,456,105,2.7405934293997514e-05
validated,28,the horses,1,1.0,456,105,2.7405934293997514e-05
validated,29,sugarcane and tobacco cultivation,1,1.0,456,105,4.2662131549631166e-05
validated,30,chang-luk sheep,1,1.0,457,105,-0.0002281126780280529
validated,31,"beds, warm clothes, and provisions",1,1.0,457,105,-0.00022072497117223144
validated,32,sugarcane and tobacco cultivation,1,1.0,456,105,4.2662131549631166e-05
validated,33,their salt onward to leh,1,1.0,457,105,-0.00022811267802810842
validated,34,british capital,1,1.0,457,105,-0.00022811267802803903
validated,35,grains,1,1.0,457,105,-0.0002281126780280529
validated,36,"10,000 maunds of wood annually",1,1.0,457,105,-0.000226097848885512
validated,37,sheep,3,3.0,454,107,0.0006947550977715045
validated,38,tea and tobacco,1,1.0,456,105,1.4480936178201675e-05
validated,39,fish,2,3.0,453,106,0.0004889700010850678
validated,40,wooden tubes or buckets,1,1.0,457,105,-0.00022374721488600813
validated,41,cultivator,1,1.0,457,105,-0.0002281126780280529
validated,42,argol (yak-dung),1,1.0,457,105,-0.00022811267802810842
validated,43,wool,4,4.0,455,106,0.0005188247525969164
validated,44,"beds, warm clothes, and provisions",1,1.0,457,105,-0.00022072497117223144
validated,45,porcelain cups,1,1.0,457,105,-0.00022811267802810842
validated,46,sheep,3,3.0,454,107,0.0006947550977715045
validated,47,tibetan salt,1,1.0,457,105,-0.00022811267802813617
validated,48,goose,3,3.0,449,107,0.0015100719358019515
validated,49,salt from the lakes in trucks,1,1.0,457,105,-0.0002281126780280529
validated,50,sugarcane and tobacco cultivation,1,1.0,456,105,4.2662131549631166e-05
validated,51,"beds, warm clothes, and provisions",1,1.0,457,105,-0.00022072497117223144
validated,52,salter water,1,1.0,456,105,0.00011379583209612798
validated,53,"salt, cloth, iron and the like",1,1.0,456,105,3.167487171105987e-05
validated,54,long dagger,1,1.0,456,105,0.00012596955770126372
validated,55,tea,7,7.0,451,109,0.001970060213431671
validated,56,rice and ice,1,1.0,456,105,9.19254868462227e-05
validated,57,"cloth, chinese porcelain cups, and knives",1,1.0,456,105,0.00021481392846051106
validated,58,coarse wool,1,1.0,457,105,-0.0002281126780280529
validated,59,the sheep,1,1.0,456,105,0.00011587782221053611
validated,60,chang-luk sheep,1,1.0,457,105,-0.0002281126780280529
validated,61,movement of goods,1,1.0,457,105,-0.00022811267802810842
validated,62,mandi salt sources,1,1.0,456,105,0.00010919385185366448
validated,63,duties on goods imported and expo.rtoa,1,1.0,457,105,-0.00022173238574349496
validated,64,tibetan salt,1,1.0,457,105,-0.00022811267802813617
validated,65,tsakhalho: salt production and the preservation of a catholic church,1,1.0,457,105,-0.00022811267802810842
validated,66,goats,1,1.0,456,105,0.00011836277815296947
validated,67,milk,1,1.0,456,105,0.00015356181419813597
validated,68,pashm,4,5.0,452,107,0.001480925382547349
validated,69,pack-horses,2,2.0,455,106,0.0005658038521031833
validated,70,sugarcane and tobacco cultivation,1,1.0,456,105,4.2662131549631166e-05
validated,71,foodgrains,3,3.0,457,107,-0.00021400887403059954
validated,72,refined salt,1,1.0,457,105,-0.00022811267802810842
validated,73,barley,4,4.0,455,106,0.0006489312541972797
validated,74,indian salt,1,1.0,457,105,-0.00022811267802810842
validated,75,tsakalho salt taxes,1,1.0,456,105,0.00011601214415288275
validated,76,goose,3,3.0,449,107,0.0015100719358019515
validated,77,yaks and horses,1,1.0,456,105,0.00021481392846051106
validated,78,milk,1,1.0,456,105,0.00015356181419813597
validated,79,indian salt,1,1.0,457,105,-0.00022811267802810842
validated,80,charas,1,1.0,456,105,3.762021675250693e-05
validated,81,"beds, warm clothes, and provisions",1,1.0,457,105,-0.00022072497117223144
validated,82,barley,4,4.0,455,106,0.0006489312541972797
validated,83,salt production,1,1.0,457,105,-0.00022811267802810842
validated,84,duties on goods imported and expo.rtoa,1,1.0,457,105,-0.00022173238574349496
validated,85,butter,2,2.0,456,105,0.0001905914955104976
validated,86,rice,1,1.0,456,105,0.00011379583209612798
validated,87,salt and livestock products,2,2.0,457,106,-0.00020964341088854088
validated,88,walnut oil revenue,1,1.0,456,105,0.0001339775027259238
validated,89,goods,2,3.0,456,105,0.0002500046784119081
validated,90,thousands and thousands of sheep,1,1.0,456,105,0.00011379583209653044
validated,91,wool,4,4.0,455,106,0.0005188247525969164
validated,92,grain-salt-rice circuit,1,1.0,456,105,0.0002026098205122756
validated,93,wooden tubes or buckets,1,1.0,457,105,-0.00022374721488600813
validated,94,manufactured goods,2,2.0,454,106,0.0006715573784292356
validated,95,"wood, milk, vegetables",1,1.0,457,105,-0.00022811267802813617
validated,96,butter,2,2.0,456,105,0.0001905914955104976
validated,97,grain,3,3.0,454,107,0.0006461839052806645
validated,98,"roo sheep, laden with salt",1,1.0,457,105,-0.00022811267802810842
validated,99,wooden tubes or buckets,1,1.0,457,105,-0.00022374721488600813
validated,100,"10,000 maunds of wood annually",1,1.0,457,105,-0.000226097848885512
validated_probable,1,two horses,1,1.0,519,119,9.070584595551046e-05
validated_probable,2,wool,4,4.0,518,120,0.0004465455205012042
validated_probable,3,butter,2,2.0,519,119,0.00016616841658728676
validated_probable,4,grain or dried apricots,1,1.0,519,119,5.6930187385298425e-05
validated_probable,5,barley,5,5.0,516,121,0.0011484444632679502
validated_probable,6,chang-luk sheep,2,2.0,518,120,0.0003571028864784165
validated_probable,7,"cloth, chinese porcelain cups, and knives",1,1.0,519,119,0.00018677722202313507
validated_probable,8,pack-horses,2,2.0,518,120,0.00048625297859106187
validated_probable,9,chang-pa goats,1,1.0,520,119,-0.00019028927290548614
validated_probable,10,porcelain cups,1,1.0,520,119,-0.00019028927290548614
