view,dropped_source,dropped_source_edges,nodes,edges,salt_present,salt_degree,salt_strength,salt_betweenness_lcc,salt_pagerank,salt_in_lcc
validated_drop_source,Traders_in_Highland_Nepal,305,765,697,True,26,29.0,0.23735304224038467,0.013877329867854624,True
validated_drop_source,CentralAsia_Tibet_Vol2,133,926,864,True,32,37.0,0.19479951520518862,0.013448213468853859,True
validated_drop_source,CentralAsia_Tibet_Vol1,112,934,886,True,28,33.0,0.16608082879321806,0.011686430744383811,True
validated_drop_source,TransHimalayan_Traders_Fisher,84,964,911,True,26,28.0,0.15093134410219458,0.010246528396416432,True
validated_drop_source,Becoming_India,55,949,938,True,32,37.0,0.1956201328805512,0.01310608300207009,True
validated_drop_source,Himalayan_Gazatteer,50,989,945,True,32,37.0,0.20358822211371902,0.012668730045809172,True
validated_drop_source,British_Garhwal,50,981,943,True,31,35.0,0.20367111869236917,0.012258755932563786,True
validated_drop_source,J&K_Gazatteer_1909,47,986,947,True,31,36.0,0.19913081162940857,0.012231885608312364,True
validated_drop_source,Ladakh,46,981,948,True,29,34.0,0.18954710914225784,0.011459903604605234,True
validated_drop_source,Memo_Relations_with_Tibet,34,1009,962,True,32,37.0,0.2124104194542571,0.01239810012083362,True
