Book,ResearchCircuitSentences,SaltSentences,CommodityCircuitSentences,PoliticalEconomySentences,RoutePlaceSentences,SocialActorSentences,FinalCircuitEdges,FinalSaltEdges,FinalCommodityCircuitEdges,FinalPoliticalEconomyEdges,FinalRoutePlaceEdges,FinalSocialActorEdges,EvidenceCoveredSentences,NodeCoveredSentences
Becoming_India,705,19,102,572,128,346,76,1,25,45,6,0,0,526
British_Garhwal,425,28,230,184,55,44,87,5,23,45,19,0,6,259
CentralAsia_Tibet_Vol1,1216,61,1069,25,271,35,192,9,90,35,67,0,39,1103
CentralAsia_Tibet_Vol2,1587,80,1343,40,424,31,168,5,78,63,27,0,33,1319
Gutenberg_EBook,272,51,193,52,73,7,4,0,2,2,0,0,0,12
HUMLA_NEPAL,81,50,70,4,10,25,9,6,7,0,2,0,0,47
Himalayan_Gazatteer,707,37,312,378,61,86,96,3,34,44,18,0,4,523
J&K_Gazatteer_1909,467,17,315,149,95,52,77,0,21,32,24,0,12,246
Ladakh,464,27,344,84,131,132,71,5,43,22,6,0,0,342
Mandi_Gazatteer,383,47,272,146,21,40,28,1,5,20,3,0,1,136
Memo_Relations_with_Tibet,117,4,47,46,30,35,53,0,12,31,10,0,4,98
Report_On_Tibet_1903,124,14,76,30,32,25,29,1,14,11,4,0,0,55
Rupshu,125,106,119,12,35,17,31,8,19,4,8,0,0,76
Salt_Industry_India,6252,5857,5507,1875,535,198,16,13,6,10,0,0,4,1124
Salt_routes_and_barter_caravans_in_the_H,128,49,109,6,38,29,14,3,9,2,3,0,0,60
Santiago_Lazcano,298,234,255,38,81,54,36,28,14,15,7,0,11,198
Traders_in_Highland_Nepal,1599,353,1181,215,279,539,371,111,264,82,25,0,192,1391
TransHimalayan_Traders_Fisher,574,104,431,110,57,140,115,22,60,37,18,0,35,492
TransformationProcessesInNomadicPastoralism,132,11,120,18,13,33,8,1,6,1,1,0,3,50
