ReviewStatus,Entity,SuggestedType,Confidence,AddToEntityTypeOverrides,CorrectedType,CanonicalEntity,Notes
pending,"10,000 maunds of wood annually",COMMODITY,0.8,,,,
pending,260 young goats,COMMODITY,1.0,,,,
pending,28 pathi of salt and r50 in cash,COMMODITY,1.0,,,,
pending,400 lakh,CONCEPT,0.8,,,,
pending,a can of fresh water and bundles of kamish,CONCEPT,1.0,,,,
pending,a young yak,COMMODITY,1.0,,,,
pending,abdall,PERSON,1.0,,,,
pending,abdu rehim,PERSON,1.0,,,,
pending,above dbng,CONCEPT,1.0,,,,
pending,acham,CONCEPT,1.0,,,,
pending,administration of the revenue and criminal justice,CONCEPT,0.8,,,,
pending,agents for the sale of punjab government publications,GROUP,0.8,,,,
pending,agreement between kharnak and rupshu,CONCEPT,0.8,,,,
pending,agricultural activities,CONCEPT,1.0,,,,
pending,"agricultural advances, chiefly seed-grain",COMMODITY,1.0,,,,
pending,agricultural communities,GROUP,0.8,,,,
pending,agricultural operations,CONCEPT,1.0,,,,
pending,agriculture,CONCEPT,1.0,,,,
pending,agriculture and trading,CONCEPT,1.0,,,,
pending,alaknanda river,LOCATION,0.8,,,,
pending,aldat,CONCEPT,1.0,,,,
pending,aldat and cherdon,CONCEPT,1.0,,,,
pending,alim,CONCEPT,1.0,,,,
pending,all india states' peoples' conference,GROUP,0.8,,,,
pending,all rivers,LOCATION,1.0,,,,
pending,all the land in the state,LOCATION,0.8,,,,
pending,all trade leaving tingri for lhasa,CONCEPT,0.8,,,,
pending,almora,LOCATION,1.0,,,,
pending,almora merchants,GROUP,0.8,,,,
pending,amdo,LOCATION,1.0,,,,
pending,amdo tibetans,GROUP,0.8,,,,
pending,amdowa tribes,GROUP,1.0,,,,
pending,animal husbandry,CONCEPT,1.0,,,,
pending,animals,COMMODITY,1.0,,,,
pending,apricots,COMMODITY,1.0,,,,
pending,ara-tagh,CONCEPT,0.8,,,,
pending,argol (yak-dung),COMMODITY,0.8,,,,
pending,arka-tagh,CONCEPT,1.0,,,,
pending,army,GROUP,1.0,,,,
pending,asia,CONCEPT,1.0,,,,
pending,askot,LOCATION,0.9916,,,,
pending,assam,CONCEPT,1.0,,,,
pending,assesses,CONCEPT,1.0,,,,
pending,assistant commissioner of nyoma,GROUP,0.8,,,,
pending,astor,LOCATION,1.0,,,,
pending,aurangzeb,PERSON,1.0,,,,
pending,authority,CONCEPT,0.8,,,,
pending,availability of a reasonable amount of cash,COMMODITY,1.0,,,,
pending,aydna,CONCEPT,1.0,,,,
pending,azem,CONCEPT,1.0,,,,
pending,badri,CONCEPT,1.0,,,,
pending,baggage animals,COMMODITY,1.0,,,,
pending,"baggage, ailinlals, and supplies",CONCEPT,1.0,,,,
pending,baltistan,LOCATION,1.0,,,,
pending,banias,GROUP,1.0,,,,
pending,banjbagar,CONCEPT,0.8,,,,
pending,bank,CONCEPT,1.0,,,,
pending,baragaon,LOCATION,1.0,,,,
pending,baragaonlis,GROUP,1.0,,,,
pending,baramiila,CONCEPT,1.0,,,,
pending,barley,COMMODITY,1.0,,,,
pending,"barley, buckwheat and oats",COMMODITY,0.8,,,,
pending,"barley, wooden wares and other basic necessities",COMMODITY,1.0,,,,
pending,bash-koll,CONCEPT,1.0,,,,
pending,baskets to the owner’s house,CONCEPT,1.0,,,,
pending,bastil,CONCEPT,1.0,,,,
pending,bathang,LOCATION,1.0,,,,
pending,bayirs,CONCEPT,1.0,,,,
pending,"beds, warm clothes, and provisions",COMMODITY,1.0,,,,
pending,beer or liquor,CONCEPT,1.0,,,,
pending,beglik-koll,CONCEPT,1.0,,,,
pending,behaviour,CONCEPT,1.0,,,,
pending,bengin tea-plantation,COMMODITY,0.8,,,,
pending,best-quality pashm,COMMODITY,1.0,,,,
pending,bhabar,LOCATION,0.9978,,,,
pending,bhabar administration,CONCEPT,0.8,,,,
pending,bhainskhet,CONCEPT,0.8,,,,
pending,bhairawa,CONCEPT,1.0,,,,
pending,bheri river,LOCATION,1.0,,,,
pending,bhot to the terai,CONCEPT,1.0,,,,
pending,bhoti bhotias,GROUP,1.0,,,,
pending,bhotia economy,CONCEPT,1.0,,,,
pending,bhotia neighbours,CONCEPT,1.0,,,,
pending,bhotia population,GROUP,1.0,,,,
pending,bhotia traders,GROUP,0.8,,,,
pending,bhotia villages,LOCATION,1.0,,,,
pending,bhotias,GROUP,1.0,,,,
pending,bhotias of dolpo,GROUP,1.0,,,,
pending,bhotias of humla,GROUP,0.8,,,,
pending,bhotias of middle-ranges,GROUP,1.0,,,,
pending,bhotias of mugu,GROUP,0.8,,,,
pending,bhotias of panchsati and barthapale,GROUP,1.0,,,,
pending,"bhotias of simikot, nalla and the",GROUP,1.0,,,,
pending,bhotias of the arun and tamur regions,GROUP,0.8,,,,
pending,bhotias of walongchung,GROUP,1.0,,,,
pending,bhotiya,CONCEPT,1.0,,,,
pending,bhotiya villages,LOCATION,0.8,,,,
pending,bhotiyae,CONCEPT,1.0,,,,
pending,bhotiyas,GROUP,1.0,,,,
pending,bhuksas,GROUP,1.0,,,,
pending,big river,LOCATION,1.0,,,,
pending,big salt lake of ayag-kum-kiill,COMMODITY,1.0,,,,
pending,bir sain,CONCEPT,0.8,,,,
pending,bironkhal,CONCEPT,1.0,,,,
pending,birth of calves in april and may,CONCEPT,1.0,,,,
pending,blana pass,LOCATION,0.8,,,,
pending,blankets,CONCEPT,1.0,,,,
pending,blue chinese cloth,COMMODITY,0.8,,,,
pending,boat,COMMODITY,1.0,,,,
pending,boatman services,CONCEPT,1.0,,,,
pending,boggtsang-sangpo,CONCEPT,1.0,,,,
pending,border ranges,LOCATION,1.0,,,,
pending,borrowers,GROUP,1.0,,,,
pending,british,GROUP,1.0,,,,
pending,british capital,COMMODITY,0.8,,,,
pending,british government,GROUP,1.0,,,,
pending,british official,GROUP,1.0,,,,
pending,british traders,GROUP,1.0,,,,
pending,british troops,GROUP,1.0,,,,
pending,"broad, flat pads",LOCATION,1.0,,,,
pending,buckets,COMMODITY,0.8,,,,
pending,"buckwheat, turnips, or other vegetables",COMMODITY,1.0,,,,
pending,buddhist devotees,GROUP,1.0,,,,
pending,buddhist society,GROUP,1.0,,,,
pending,buffaloes,COMMODITY,1.0,,,,
pending,bujentu-bulak,CONCEPT,1.0,,,,
pending,bundes,CONCEPT,1.0,,,,
pending,buniya traders,GROUP,1.0,,,,
pending,buriat cossacks,GROUP,0.8,,,,
pending,butter,COMMODITY,1.0,,,,
pending,butwal,LOCATION,1.0,,,,
pending,byansis,GROUP,1.0,,,,
pending,byansis of darchula,GROUP,1.0,,,,
pending,byfins,CONCEPT,1.0,,,,
pending,byins,CONCEPT,0.8,,,,
pending,camel,COMMODITY,1.0,,,,
pending,camel's back,COMMODITY,0.8,,,,
pending,camel-drivers and merchants (traveling to kashgar),GROUP,1.0,,,,
pending,camels,COMMODITY,1.0,,,,
pending,camp,CONCEPT,1.0,,,,
pending,canoe-men,GROUP,1.0,,,,
pending,canvas hull,CONCEPT,1.0,,,,
pending,captain drummond,PERSON,1.0,,,,
pending,caravan,CONCEPT,1.0,,,,
pending,caravans,CONCEPT,1.0,,,,
pending,caravans of yak-cattle cross-breeds and mules,COMMODITY,1.0,,,,
pending,cart-road,LOCATION,0.8,,,,
pending,cart-road to the mandi,LOCATION,0.8,,,,
pending,cartridges,COMMODITY,1.0,,,,
pending,cash,CONCEPT,1.0,,,,
pending,cash crops and pastoral goods,COMMODITY,1.0,,,,
pending,cash instead of cloth,COMMODITY,0.8,,,,
pending,"cash, a musk deer, a yak-tail, a pony and a hawk",COMMODITY,0.8,,,,
pending,casual labourers,CONCEPT,1.0,,,,
pending,caterpillar fungus,COMMODITY,1.0,,,,
pending,cavalry force,CONCEPT,1.0,,,,
pending,central asia,LOCATION,1.0,,,,
pending,central asian trade,CONCEPT,1.0,,,,
pending,centre of the district,LOCATION,1.0,,,,
pending,certain thakuris,CONCEPT,1.0,,,,
pending,chala,LOCATION,1.0,,,,
pending,chala people,GROUP,1.0,,,,
pending,chamdo,LOCATION,1.0,,,,
pending,champas,GROUP,0.8,,,,
pending,chandrpur,CONCEPT,0.8,,,,
pending,chang tang and tsaidam,CONCEPT,1.0,,,,
pending,chang-luk sheep,COMMODITY,1.0,,,,
pending,chang-pa,GROUP,1.0,,,,
pending,chang-pa goats,COMMODITY,0.8,,,,
pending,chang-thang sheep's wool,COMMODITY,1.0,,,,
pending,change,CONCEPT,1.0,,,,
pending,charas,COMMODITY,1.0,,,,
pending,chargut-tso,CONCEPT,1.0,,,,
pending,charitable grants,CONCEPT,1.0,,,,
pending,chegghelik-uy,CONCEPT,1.0,,,,
pending,cheptu (tibet),LOCATION,1.0,,,,
pending,cherchen,CONCEPT,1.0,,,,
pending,cherchen-daria,CONCEPT,1.0,,,,
pending,cherdon,CONCEPT,1.0,,,,
pending,chernoff,PERSON,1.0,,,,
pending,chetris,GROUP,1.0,,,,
pending,chetris of middle-ranges,GROUP,0.8,,,,
pending,chetris of thali,GROUP,1.0,,,,
pending,chetris of unapani,GROUP,1.0,,,,
pending,chief,PERSON,1.0,,,,
pending,chimen valley,LOCATION,0.8,,,,
pending,chimen-tagh,CONCEPT,0.8,,,,
pending,china,LOCATION,1.0,,,,
pending,china and tibet,LOCATION,1.0,,,,
pending,chinese,CONCEPT,1.0,,,,
pending,chinese and mongols,GROUP,1.0,,,,
pending,chinese authorities,GROUP,1.0,,,,
pending,chinese emperor,PERSON,1.0,,,,
pending,chinese government,GROUP,0.8,,,,
pending,chinese officials,GROUP,0.8,,,,
pending,chinese rulers of tibet,LOCATION,1.0,,,,
pending,chinese turkistan and tibet,LOCATION,1.0,,,,
pending,chinese world of gansu and northern sichuan,LOCATION,0.8,,,,
pending,"chinese, ladakis, and adjacent asiatic races",LOCATION,1.0,,,,
pending,chinu millet,COMMODITY,1.0,,,,
pending,chir-chun encamping ground in tibet,LOCATION,0.8,,,,
pending,chokka-tagh,CONCEPT,1.0,,,,
pending,christoph von furer-haimendorf,PERSON,0.8,,,,
pending,chronometers,COMMODITY,1.0,,,,
pending,chumbi valley,LOCATION,1.0,,,,
pending,cigarettes,CONCEPT,1.0,,,,
pending,class i tichurong magars,GROUP,1.0,,,,
pending,clay terrace,CONCEPT,1.0,,,,
pending,cloth,COMMODITY,1.0,,,,
pending,"cloth, chinese porcelain cups, and knives",COMMODITY,1.0,,,,
pending,"cloth, cigarettes, sugar and a few other commodities",COMMODITY,1.0,,,,
pending,clothes,COMMODITY,0.8,,,,
pending,clothes to wear,COMMODITY,1.0,,,,
pending,coarse wool,COMMODITY,1.0,,,,
pending,colleges at lahore,LOCATION,1.0,,,,
pending,colonel saitseff,PERSON,0.8,,,,
pending,commission,GROUP,1.0,,,,
pending,commissioner,GROUP,0.8,,,,
pending,commissioner of meerut,GROUP,0.8,,,,
pending,commodities circuit,CONCEPT,1.0,,,,
pending,concessions for mining rights,CONCEPT,1.0,,,,
pending,congress party,CONCEPT,1.0,,,,
pending,construction of subsidiary settlements,CONCEPT,1.0,,,,
pending,consul petrovsky,PERSON,1.0,,,,
pending,consul uspensky,PERSON,0.8,,,,
pending,contractors,GROUP,1.0,,,,
pending,convention,CONCEPT,1.0,,,,
pending,copper and brass vessels,COMMODITY,1.0,,,,
pending,cossack,CONCEPT,1.0,,,,
pending,cossacks,GROUP,1.0,,,,
pending,"cotton cloth, shoes, tea, oil, soap, cigarettes and various household goods",COMMODITY,1.0,,,,
pending,cotton clothes,COMMODITY,1.0,,,,
pending,cotton textiles and manufactured goods,COMMODITY,1.0,,,,
pending,country,LOCATION,0.8,,,,
pending,court of nepal,LOCATION,0.8,,,,
pending,credit,CONCEPT,1.0,,,,
pending,creditors,GROUP,1.0,,,,
pending,crops,COMMODITY,1.0,,,,
pending,"crops of barley, buckwheat, and rod oats",COMMODITY,0.8,,,,
pending,cultivated fields and potato plots,CONCEPT,1.0,,,,
pending,cultivation of potatoes and meadows,CONCEPT,1.0,,,,
pending,cultivator,COMMODITY,0.8,,,,
pending,cultural setting,CONCEPT,1.0,,,,
pending,cumbersome system of administration,CONCEPT,1.0,,,,
pending,current,CONCEPT,1.0,,,,
pending,customs contractor,CONCEPT,1.0,,,,
pending,daily wages,CONCEPT,1.0,,,,
pending,daily workings and internal authority of the clans,CONCEPT,1.0,,,,
pending,dairy produce and meat,COMMODITY,1.0,,,,
pending,dairy products,CONCEPT,1.0,,,,
pending,dal lake,LOCATION,0.8,,,,
pending,dalai lama,PERSON,1.0,,,,
pending,dana customs house,CONCEPT,1.0,,,,
pending,dangali khambas,GROUP,1.0,,,,
pending,dead forest,LOCATION,1.0,,,,
pending,dead poplars,CONCEPT,1.0,,,,
pending,debi chand,CONCEPT,1.0,,,,
pending,dehra,CONCEPT,0.8,,,,
pending,deldan,PERSON,1.0,,,,
pending,deputy commissioner,GROUP,1.0,,,,
pending,derge,LOCATION,1.0,,,,
pending,descendants of mythical hero kesar,CONCEPT,1.0,,,,
pending,desert,CONCEPT,1.0,,,,
pending,dhaulagiri zone,CONCEPT,1.0,,,,
pending,dhauli,LOCATION,0.9405,,,,
pending,dhigur system,CONCEPT,1.0,,,,
pending,dhinga community,GROUP,1.0,,,,
pending,dhinga laga,CONCEPT,0.8,,,,
pending,dhorpatan,CONCEPT,1.0,,,,
pending,dietary rules,CONCEPT,1.0,,,,
pending,dingla,CONCEPT,1.0,,,,
pending,dispensaries,CONCEPT,1.0,,,,
pending,distribution of salt,COMMODITY,0.8,,,,
pending,district,LOCATION,1.0,,,,
pending,district forests,LOCATION,1.0,,,,
pending,district officer,LOCATION,0.8,,,,
pending,district panchayat,LOCATION,0.8,,,,
pending,"districts of lharigo, shobado, and sho-ta-iho-sum",LOCATION,1.0,,,,
pending,doctor shawe,CONCEPT,1.0,,,,
pending,dogra country,LOCATION,0.8,,,,
pending,dogra dynasty,GROUP,0.8,,,,
pending,dogs,CONCEPT,1.0,,,,
pending,dolpo,LOCATION,1.0,,,,
pending,dolpo and mugu,LOCATION,1.0,,,,
pending,dolpo desa,LOCATION,0.8,,,,
pending,dolpo district,LOCATION,1.0,,,,
pending,dolpo dwellings,LOCATION,0.8,,,,
pending,dolpo people,GROUP,1.0,,,,
pending,dolpo traders,GROUP,1.0,,,,
pending,dolpo villagers,GROUP,0.8,,,,
pending,dolpo villages,LOCATION,1.0,,,,
pending,dominant village community,GROUP,0.8,,,,
pending,dorje ngungdu,CONCEPT,1.0,,,,
pending,dorje ngungdu's son,PERSON,1.0,,,,
pending,dorje tikbi (mende),CONCEPT,1.0,,,,
pending,dovlet caravan-bashi,CONCEPT,1.0,,,,
pending,dozum fair,LOCATION,1.0,,,,
pending,drainage system of jammu town,CONCEPT,1.0,,,,
pending,drang,LOCATION,1.0,,,,
pending,dried apricots,COMMODITY,1.0,,,,
pending,drift-ice,CONCEPT,1.0,,,,
pending,drogpa,GROUP,1.0,,,,
pending,drokpas at pongdzu,CONCEPT,0.8,,,,
pending,dunes,CONCEPT,1.0,,,,
pending,duties on goods imported and expo.rtoa,COMMODITY,0.8,,,,
pending,east turkestan,CONCEPT,1.0,,,,
pending,east wind,CONCEPT,1.0,,,,
pending,employment by mountaineering expeditions operating within nepal's boundaries,LOCATION,0.8,,,,
pending,enormous herds of yak and sheep,COMMODITY,0.8,,,,
pending,entire border with the sikh territories,LOCATION,1.0,,,,
pending,entry into tibet,LOCATION,0.8,,,,
pending,eski-daria (old river),LOCATION,1.0,,,,
pending,eskilstuna knife,CONCEPT,1.0,,,,
pending,estate,LOCATION,1.0,,,,
pending,europe,LOCATION,1.0,,,,
pending,european men,GROUP,1.0,,,,
pending,european strangers,CONCEPT,1.0,,,,
pending,europeans,GROUP,0.8,,,,
pending,exactions,CONCEPT,1.0,,,,
pending,export of female yak,CONCEPT,1.0,,,,
pending,extra assistant conservator,CONCEPT,1.0,,,,
pending,faisullah,CONCEPT,1.0,,,,
pending,farmers,GROUP,0.8,,,,
pending,farmers from lower ladakh (or sham),GROUP,1.0,,,,
pending,"farmers in lo, dolpo, and baragaon",GROUP,1.0,,,,
pending,farmers in pokhara and baglung,GROUP,1.0,,,,
pending,farmers inhabiting the lower humla valley,GROUP,0.8,,,,
pending,fateh sah medini sah,PERSON,1.0,,,,
pending,fees,CONCEPT,1.0,,,,
pending,ferry-boat,COMMODITY,1.0,,,,
pending,fields,CONCEPT,1.0,,,,
pending,financial commissioner of punjab,GROUP,1.0,,,,
pending,firm ground,CONCEPT,1.0,,,,
pending,fish,COMMODITY,1.0,,,,
pending,five considerable villages,LOCATION,1.0,,,,
pending,"five village men who are particularly skilled in making plows, carpenter/blacksmith",GROUP,0.8,,,,
