view,seed,modularity,communities
validated,0,0.0,1
validated,1,0.0,1
validated,2,0.0,1
validated,3,0.0,1
validated,4,0.0,1
validated,5,0.0,1
validated,6,0.0,1
validated,7,0.0,1
validated,8,0.0,1
validated,9,0.0,1
validated,10,0.0,1
validated,11,0.0,1
validated,12,0.0,1
validated,13,0.0,1
validated,14,0.0,1
validated,15,0.0,1
validated,16,0.0,1
validated,17,0.0,1
validated,18,0.0,1
validated,19,0.0,1
validated_probable,0,0.0,1
validated_probable,1,0.0,1
validated_probable,2,0.0,1
validated_probable,3,0.0,1
validated_probable,4,0.0,1
validated_probable,5,0.0,1
validated_probable,6,0.0,1
validated_probable,7,0.0,1
validated_probable,8,0.0,1
validated_probable,9,0.0,1
validated_probable,10,0.0,1
validated_probable,11,0.0,1
validated_probable,12,0.0,1
validated_probable,13,0.0,1
validated_probable,14,0.0,1
validated_probable,15,0.0,1
validated_probable,16,0.0,1
validated_probable,17,0.0,1
validated_probable,18,0.0,1
validated_probable,19,0.0,1
validated_no_concept,0,0.0,1
validated_no_concept,1,0.0,1
validated_no_concept,2,0.0,1
validated_no_concept,3,0.0,1
validated_no_concept,4,0.0,1
validated_no_concept,5,0.0,1
validated_no_concept,6,0.0,1
validated_no_concept,7,0.0,1
validated_no_concept,8,0.0,1
validated_no_concept,9,0.0,1
validated_no_concept,10,0.0,1
validated_no_concept,11,0.0,1
validated_no_concept,12,0.0,1
validated_no_concept,13,0.0,1
validated_no_concept,14,0.0,1
validated_no_concept,15,0.0,1
validated_no_concept,16,0.0,1
validated_no_concept,17,0.0,1
validated_no_concept,18,0.0,1
validated_no_concept,19,0.0,1
validated_probable_no_concept,0,0.0,1
validated_probable_no_concept,1,0.0,1
validated_probable_no_concept,2,0.0,1
validated_probable_no_concept,3,0.0,1
validated_probable_no_concept,4,0.0,1
validated_probable_no_concept,5,0.0,1
validated_probable_no_concept,6,0.0,1
validated_probable_no_concept,7,0.0,1
validated_probable_no_concept,8,0.0,1
validated_probable_no_concept,9,0.0,1
validated_probable_no_concept,10,0.0,1
validated_probable_no_concept,11,0.0,1
validated_probable_no_concept,12,0.0,1
validated_probable_no_concept,13,0.0,1
validated_probable_no_concept,14,0.0,1
validated_probable_no_concept,15,0.0,1
validated_probable_no_concept,16,0.0,1
validated_probable_no_concept,17,0.0,1
validated_probable_no_concept,18,0.0,1
validated_probable_no_concept,19,0.0,1
validated_trade_only,0,0.0,1
validated_trade_only,1,0.0,1
validated_trade_only,2,0.0,1
validated_trade_only,3,0.0,1
validated_trade_only,4,0.0,1
validated_trade_only,5,0.0,1
validated_trade_only,6,0.0,1
validated_trade_only,7,0.0,1
validated_trade_only,8,0.0,1
validated_trade_only,9,0.0,1
validated_trade_only,10,0.0,1
validated_trade_only,11,0.0,1
validated_trade_only,12,0.0,1
validated_trade_only,13,0.0,1
validated_trade_only,14,0.0,1
validated_trade_only,15,0.0,1
validated_trade_only,16,0.0,1
validated_trade_only,17,0.0,1
validated_trade_only,18,0.0,1
validated_trade_only,19,0.0,1
validated_probable_trade_only,0,0.0,1
validated_probable_trade_only,1,0.0,1
validated_probable_trade_only,2,0.0,1
validated_probable_trade_only,3,0.0,1
validated_probable_trade_only,4,0.0,1
validated_probable_trade_only,5,0.0,1
validated_probable_trade_only,6,0.0,1
validated_probable_trade_only,7,0.0,1
validated_probable_trade_only,8,0.0,1
validated_probable_trade_only,9,0.0,1
validated_probable_trade_only,10,0.0,1
validated_probable_trade_only,11,0.0,1
validated_probable_trade_only,12,0.0,1
validated_probable_trade_only,13,0.0,1
validated_probable_trade_only,14,0.0,1
validated_probable_trade_only,15,0.0,1
validated_probable_trade_only,16,0.0,1
validated_probable_trade_only,17,0.0,1
validated_probable_trade_only,18,0.0,1
validated_probable_trade_only,19,0.0,1
