view,removed,present,degree,strength,largest_component_nodes,components,global_efficiency_loss
validated,salt,True,44,52.0,805,157,0.010121104330435546
validated,wool,True,10,10.0,835,141,0.0005290658001109866
validated,pashm,True,4,5.0,834,142,0.0004270321580144565
validated,grain,True,18,18.0,826,146,0.002508639680207078
validated,barley,True,4,4.0,834,142,0.000408046982198762
validated,tea,True,8,8.0,830,145,0.0014629220380997787
validated,borax,False,0,0,836,141,0.0
validated_probable,salt,True,44,52.0,894,179,0.009328853269491635
validated_probable,wool,True,10,10.0,927,163,0.00045488367587871725
validated_probable,pashm,True,4,5.0,925,164,0.0005585131954114059
validated_probable,grain,True,18,18.0,918,167,0.002198015488975913
validated_probable,barley,True,5,5.0,924,165,0.0007514546002480166
validated_probable,tea,True,9,9.0,922,167,0.0013821669774914808
validated_probable,borax,False,0,0,928,163,0.0
validated_no_concept,salt,True,33,40.0,250,118,0.014731389273061009
validated_no_concept,wool,True,6,6.0,278,105,0.00039250638798936366
validated_no_concept,pashm,True,4,5.0,277,106,0.0008617681667750371
validated_no_concept,grain,True,15,15.0,271,109,0.004015675232249105
validated_no_concept,barley,True,4,4.0,277,106,0.0008235989789455306
validated_no_concept,tea,True,5,5.0,276,107,0.0011109885860637464
validated_no_concept,borax,False,0,0,279,105,0.0
validated_probable_no_concept,salt,True,33,40.0,292,135,0.01168422288299785
validated_probable_no_concept,wool,True,6,6.0,317,123,0.00032440504986744334
validated_probable_no_concept,pashm,True,4,5.0,315,124,0.0010253413218544657
validated_probable_no_concept,grain,True,15,15.0,310,126,0.0033331064073378464
validated_probable_no_concept,barley,True,5,5.0,314,125,0.0013506153159840231
validated_probable_no_concept,tea,True,6,6.0,314,126,0.0012577714354020803
validated_probable_no_concept,borax,False,0,0,318,123,0.0
validated_trade_only,salt,True,35,41.0,530,119,0.007123964997931678
validated_trade_only,wool,True,8,8.0,542,108,0.0008595861503611912
validated_trade_only,pashm,True,4,4.0,541,109,0.0005954570456918884
validated_trade_only,grain,True,18,18.0,533,113,0.003379676002687848
validated_trade_only,barley,True,4,4.0,541,109,0.0005913611300412264
validated_trade_only,tea,True,8,8.0,537,112,0.0026232699283005173
validated_trade_only,borax,False,0,0,543,108,0.0
validated_probable_trade_only,salt,True,35,41.0,576,142,0.0060515837037834475
validated_probable_trade_only,wool,True,8,8.0,588,131,0.0007307482753773215
validated_probable_trade_only,pashm,True,4,4.0,586,132,0.0007603751961297311
validated_probable_trade_only,grain,True,18,18.0,579,135,0.0029037396457486236
validated_probable_trade_only,barley,True,5,5.0,585,133,0.0010375498752250162
validated_probable_trade_only,tea,True,9,9.0,580,136,0.0029430617500423306
validated_probable_trade_only,borax,False,0,0,589,131,0.0
