view,node,type,degree_in_lcc,salt_neighbor
validated,salt,COMMODITY,44,False
validated,grain,COMMODITY,18,False
validated,rupshu,LOCATION,10,True
validated,traders,GROUP,8,True
validated,purangbas,CONCEPT,7,True
validated,farmers from lower ladakh (or sham),GROUP,5,True
validated,livestock,COMMODITY,5,False
validated,tarali traders,GROUP,5,False
validated,the lake,LOCATION,5,True
validated,barley,COMMODITY,4,True
validated,chang-pa,GROUP,4,True
validated,chinese authorities,GROUP,4,True
validated,goloks,GROUP,4,True
validated,tso kar,LOCATION,4,False
validated,zanskaris,GROUP,4,True
validated,humlis,GROUP,3,True
validated,rice,COMMODITY,3,False
validated,the desert,CONCEPT,3,True
validated,tsakalho,LOCATION,3,False
validated,zhao erfeng,PERSON,3,True
validated,bathang,LOCATION,2,False
validated,cash crops and pastoral goods,COMMODITY,2,False
validated,consumers,GROUP,2,True
validated,kamali zone,CONCEPT,2,False
validated,kharnak,LOCATION,2,False
validated,nomads of the lake area,GROUP,2,True
validated,thakali merchants,GROUP,2,True
validated,tibetan populations,LOCATION,2,True
validated,tichurong people,GROUP,2,True
validated,amdowa tribes,GROUP,1,True
validated,apricots,COMMODITY,1,False
validated,availability of a reasonable amount of cash,COMMODITY,1,False
validated,azem,CONCEPT,1,False
validated,beer or liquor,CONCEPT,1,False
validated,bhotia population,GROUP,1,False
validated,bhotias of panchsati and barthapale,GROUP,1,True
validated,buddhist devotees,GROUP,1,False
validated,chala people,GROUP,1,False
validated,clothes to wear,COMMODITY,1,False
validated,east turkestan,CONCEPT,1,False
validated,gh«sa-settlement,CONCEPT,1,False
validated,grain-salt-rice circuit,CONCEPT,1,True
validated,jang bahadur rana,CONCEPT,1,True
validated,jumla and botechaur,LOCATION,1,True
validated,khaltse,LOCATION,1,False
validated,king prithvimalla,PERSON,1,False
validated,kyaring tso and ngoring tso,CONCEPT,1,False
validated,lhagong monastery,CONCEPT,1,True
validated,local chetris,GROUP,1,False
validated,long-distance caravans,CONCEPT,1,False
validated,machine-made blankets imported from india,LOCATION,1,False
validated,mountains of sand,CONCEPT,1,False
validated,nepali traders,GROUP,1,False
validated,peasant families,CONCEPT,1,False
validated,people of lower humla,GROUP,1,False
validated,salt lakes,LOCATION,1,True
validated,salter water,COMMODITY,1,False
validated,semi-luxuries like tea and rice,COMMODITY,1,True
validated,spices,COMMODITY,1,False
validated,sugar,COMMODITY,1,False
validated,"tea, tibetan boots and coats, leather belts with pockets and similar goods",COMMODITY,1,False
validated,textiles,CONCEPT,1,False
validated,thakali families,CONCEPT,1,True
validated,the large dunes,CONCEPT,1,False
validated,the mountain-mass,LOCATION,1,False
validated,the southern shore,CONCEPT,1,False
validated,the water,CONCEPT,1,True
validated,the weather,CONCEPT,1,False
validated,thousands and thousands of sheep,COMMODITY,1,False
validated,"tibetan boots, coats (bakhu)",LOCATION,1,False
validated,tibetan changpas,GROUP,1,True
validated,tibetan partners,GROUP,1,True
validated,traders from northwestern sichuan,GROUP,1,False
validated,traders of the karnali zone,GROUP,1,False
validated,tsakalho salt taxes,COMMODITY,1,False
validated,tsam tso lake,LOCATION,1,False
validated,walnuts,COMMODITY,1,False
validated,white radish,COMMODITY,1,False
validated,woolen goods,COMMODITY,1,False
validated_probable,salt,COMMODITY,44,False
validated_probable,rupshu,LOCATION,11,True
validated_probable,men,GROUP,9,True
validated_probable,traders,GROUP,8,True
validated_probable,purangbas,CONCEPT,7,True
validated_probable,barley,COMMODITY,5,True
validated_probable,chinese authorities,GROUP,5,True
validated_probable,goloks,GROUP,5,True
validated_probable,livestock,COMMODITY,5,False
validated_probable,nomads,GROUP,5,True
validated_probable,tso kar,LOCATION,5,False
validated_probable,chang-pa,GROUP,4,True
validated_probable,zanskaris,GROUP,4,True
validated_probable,humlis,GROUP,3,True
validated_probable,kharnak,LOCATION,3,False
validated_probable,rice,COMMODITY,3,False
validated_probable,the desert,CONCEPT,3,True
validated_probable,tsakalho,LOCATION,3,False
validated_probable,zhao erfeng,PERSON,3,True
validated_probable,bathang,LOCATION,2,False
validated_probable,cash crops and pastoral goods,COMMODITY,2,False
validated_probable,europe,LOCATION,2,False
validated_probable,kamali zone,CONCEPT,2,False
validated_probable,khaltse,LOCATION,2,False
validated_probable,manufactured goods,COMMODITY,2,False
validated_probable,nomads of the lake area,GROUP,2,True
validated_probable,tibetan populations,LOCATION,2,True
validated_probable,tichurong people,GROUP,2,True
validated_probable,amdowa tribes,GROUP,1,True
validated_probable,availability of a reasonable amount of cash,COMMODITY,1,False
validated_probable,azem,CONCEPT,1,False
validated_probable,baskets to the owner’s house,CONCEPT,1,False
validated_probable,bhoti bhotias,GROUP,1,False
validated_probable,bhotias of panchsati and barthapale,GROUP,1,True
validated_probable,"buckwheat, turnips, or other vegetables",COMMODITY,1,False
validated_probable,buddhist devotees,GROUP,1,False
