view,metric,median,min,max
validated,salt_community_size,79.0,69.0,100.0
validated,salt_participation,0.5103305785123968,0.4204545454545454,0.5692148760330579
validated,salt_community_jaccard_vs_seed0,0.8660566868464502,0.3858267716535433,1.0
validated_probable,salt_community_size,81.5,67.0,117.0
validated_probable,salt_participation,0.5144628099173554,0.4204545454545454,0.5816115702479339
validated_probable,salt_community_jaccard_vs_seed0,0.7486267166042446,0.34265734265734266,1.0
validated_no_concept,salt_community_size,42.0,29.0,56.0
validated_no_concept,salt_participation,0.6042240587695134,0.4554637281910009,0.7382920110192838
validated_no_concept,salt_community_jaccard_vs_seed0,0.5277093596059113,0.40625,1.0
validated_probable_no_concept,salt_community_size,42.0,36.0,51.0
validated_probable_no_concept,salt_participation,0.6694214876033058,0.534435261707989,0.7566574839302113
validated_probable_no_concept,salt_community_jaccard_vs_seed0,0.7171428571428571,0.3050847457627119,1.0
validated_trade_only,salt_community_size,64.0,47.0,82.0
validated_trade_only,salt_participation,0.5926530612244898,0.4604081632653061,0.7020408163265306
validated_trade_only,salt_community_jaccard_vs_seed0,0.2741640543364681,0.1810344827586207,1.0
validated_probable_trade_only,salt_community_size,67.0,52.0,79.0
validated_probable_trade_only,salt_participation,0.56,0.43102040816326526,0.6089795918367347
validated_probable_trade_only,salt_community_jaccard_vs_seed0,0.7059255182535314,0.21649484536082475,1.0
