view,run,removed,degree,strength,largest_component_nodes,components,global_efficiency_loss
validated,1,tea,1,1.0,3,7,-0.00146520146520146
validated,2,tea,1,1.0,3,7,-0.00146520146520146
validated,3,tea,1,1.0,3,7,-0.00146520146520146
validated,4,tea,1,1.0,3,7,-0.00146520146520146
validated,5,tea,1,1.0,3,7,-0.00146520146520146
validated,6,tea,1,1.0,3,7,-0.00146520146520146
validated,7,tea,1,1.0,3,7,-0.00146520146520146
validated,8,tea,1,1.0,3,7,-0.00146520146520146
validated,9,tea,1,1.0,3,7,-0.00146520146520146
validated,10,tea,1,1.0,3,7,-0.00146520146520146
validated,11,tea,1,1.0,3,7,-0.00146520146520146
validated,12,tea,1,1.0,3,7,-0.00146520146520146
validated,13,tea,1,1.0,3,7,-0.00146520146520146
validated,14,tea,1,1.0,3,7,-0.00146520146520146
validated,15,tea,1,1.0,3,7,-0.00146520146520146
validated,16,tea,1,1.0,3,7,-0.00146520146520146
validated,17,tea,1,1.0,3,7,-0.00146520146520146
validated,18,tea,1,1.0,3,7,-0.00146520146520146
validated,19,tea,1,1.0,3,7,-0.00146520146520146
validated,20,tea,1,1.0,3,7,-0.00146520146520146
validated,21,tea,1,1.0,3,7,-0.00146520146520146
validated,22,tea,1,1.0,3,7,-0.00146520146520146
validated,23,tea,1,1.0,3,7,-0.00146520146520146
validated,24,tea,1,1.0,3,7,-0.00146520146520146
validated,25,tea,1,1.0,3,7,-0.00146520146520146
validated,26,tea,1,1.0,3,7,-0.00146520146520146
validated,27,tea,1,1.0,3,7,-0.00146520146520146
validated,28,tea,1,1.0,3,7,-0.00146520146520146
validated,29,tea,1,1.0,3,7,-0.00146520146520146
validated,30,tea,1,1.0,3,7,-0.00146520146520146
validated,31,tea,1,1.0,3,7,-0.00146520146520146
validated,32,tea,1,1.0,3,7,-0.00146520146520146
validated,33,tea,1,1.0,3,7,-0.00146520146520146
validated,34,tea,1,1.0,3,7,-0.00146520146520146
validated,35,tea,1,1.0,3,7,-0.00146520146520146
validated,36,tea,1,1.0,3,7,-0.00146520146520146
validated,37,tea,1,1.0,3,7,-0.00146520146520146
validated,38,tea,1,1.0,3,7,-0.00146520146520146
validated,39,tea,1,1.0,3,7,-0.00146520146520146
validated,40,tea,1,1.0,3,7,-0.00146520146520146
validated,41,tea,1,1.0,3,7,-0.00146520146520146
validated,42,tea,1,1.0,3,7,-0.00146520146520146
validated,43,tea,1,1.0,3,7,-0.00146520146520146
validated,44,tea,1,1.0,3,7,-0.00146520146520146
validated,45,tea,1,1.0,3,7,-0.00146520146520146
validated,46,tea,1,1.0,3,7,-0.00146520146520146
validated,47,tea,1,1.0,3,7,-0.00146520146520146
validated,48,tea,1,1.0,3,7,-0.00146520146520146
validated,49,tea,1,1.0,3,7,-0.00146520146520146
validated,50,tea,1,1.0,3,7,-0.00146520146520146
validated,51,tea,1,1.0,3,7,-0.00146520146520146
validated,52,tea,1,1.0,3,7,-0.00146520146520146
