view,dropped_source,dropped_source_edges,nodes,edges,salt_present,salt_degree,salt_strength,salt_betweenness_lcc,salt_pagerank,salt_in_lcc
validated_drop_source,Traders_in_Highland_Nepal,329,910,869,True,34,38.0,0.2606766510860258,0.013670542180964683,True
validated_drop_source,CentralAsia_Tibet_Vol1,171,1025,1022,True,40,48.0,0.21159045017850056,0.01406385479602569,True
validated_drop_source,CentralAsia_Tibet_Vol2,143,1060,1045,True,43,51.0,0.3486696425830402,0.014634804239389973,True
validated_drop_source,TransHimalayan_Traders_Fisher,95,1106,1094,True,39,43.0,0.22086899426567722,0.012177267330541757,True
validated_drop_source,British_Garhwal,73,1098,1112,True,43,49.0,0.22043948486109902,0.013758304979753132,True
validated_drop_source,J&K_Gazatteer_1909,65,1111,1121,True,44,52.0,0.24835609328520253,0.014277273295133798,True
validated_drop_source,Himalayan_Gazatteer,63,1114,1123,True,44,52.0,0.23361917178377045,0.014287209783929961,True
validated_drop_source,Becoming_India,59,1087,1125,True,44,52.0,0.21926957111416148,0.01452406874006646,True
validated_drop_source,Ladakh,57,1120,1129,True,40,47.0,0.22243600820847342,0.012899277810571999,True
validated_drop_source,Memo_Relations_with_Tibet,43,1149,1146,True,44,52.0,0.23231916755529858,0.013835839463234897,True
