Book,ResearchCircuitSentences,SaltSentences,CommodityCircuitSentences,PoliticalEconomySentences,RoutePlaceSentences,SocialActorSentences,FinalCircuitEdges,FinalSaltEdges,FinalCommodityCircuitEdges,FinalPoliticalEconomyEdges,FinalRoutePlaceEdges,FinalSocialActorEdges,EvidenceCoveredSentences,NodeCoveredSentences
British_Garhwal,457,27,230,226,72,64,87,5,23,45,19,0,7,327
CentralAsia_Tibet_Vol1,1221,61,1072,26,278,34,192,9,90,35,67,0,29,1107
CentralAsia_Tibet_Vol2,1559,78,1315,39,427,31,168,5,78,63,27,0,36,1308
HUMLA_NEPAL,78,48,66,4,10,25,9,6,7,0,2,0,0,46
Himalayan_Gazatteer,183,18,123,58,24,21,96,3,34,44,18,0,0,83
J&K_Gazatteer_1909,475,17,318,158,100,54,77,0,21,32,24,0,5,271
Mandi_Gazatteer,565,72,342,271,57,82,28,1,5,20,3,0,2,272
Memo_Relations_with_Tibet,258,11,154,64,62,76,53,0,12,31,10,0,0,152
Report_On_Tibet_1903,142,18,76,36,45,35,29,1,14,11,4,0,1,83
Salt_Industry_India,6251,5856,5506,1875,535,198,16,13,6,10,0,0,4,1124
Salt_routes_and_barter_caravans_in_the_H,130,49,110,6,39,30,14,3,9,2,3,0,0,60
Santiago_Lazcano,298,234,255,38,81,54,36,28,14,15,7,0,11,198
TransformationProcessesInNomadicPastoralism,132,11,120,18,13,33,8,1,6,1,1,0,3,50
