Place,Latitude,Longitude
Galwan,54.137017900000004,19.455836309459464
kiang,32.7002037,78.4555471
Beas,31.6181829453933,75.40692792281901
Pipiting,33.4804266,76.8901026
cen­,22.281937749999997,114.15807645569366
Bogle,51.319603900000004,0.7931752545759356
UK,6.3110548,20.5447525
Tibet Chang-pa,30.42809805380556,97.19518420704392
Dogra,24.53493385,77.67030092978337
Hindi,40.199532,40.0657077
Sani,43.9458623,12.458306
Drew,33.5716907,-91.7160969
Sikkim,27.601029,88.45413638680145
Virupaksha,15.3351754,76.45877771562229
Zhung,29.1857954,88.9364765
Crook,44.1460291,-120.3839476
US,39.7837304,-100.445882
Mahakala,27.5125358,85.5435456
G.M.,49.27135391042461,-122.57493268894424
Ramsay,51.037727,-114.041219
Mecca,21.420847,39.826869
Sinkiang,42.4804953,85.4633464
Aberdeen,57.1482429,-2.0928095
Leh Autonomous,41.6291231,41.6009209
Byzantium,41.006381,28.9758715
Taru,-3.7333,39.15
The Kingdom,43.1139558,-76.3960453
Tokyo,35.6768601,139.7638947
Mustang,35.384227,-97.7244813
Umasi,33.4277792,76.5777862
Vikramasila,25.3260344,87.2732594
Afghanistan,33.7680065,66.2385139
Briton,-1.2626392499999999,116.83905895
Bodhisattva,52.5228456,13.2330426
Mountain,48.6843951,-97.8652374
Mang,50.1106444,8.6820917
Norberg,60.0864052,15.9533232
Pallas,60.9888138,25.625542
Tsaparang,31.46547425,79.66984194807225
Dhauladhar,32.24219243028854,76.49233058869687
kyang,28.30150245,83.67657842927449
dantan,21.9305544,87.284002
Himalayan Kingdom,27.7385098,85.3234856
Drepung,29.6767779,91.0469304
WESTERN TIBET,47.9803984,18.12962886250374
Pashm,29.6004018,52.4701022
Sanskrit,55.7472693,37.5885791
Hong Kong,22.350627,114.1849161
Nepal,28.3780464,83.9999901
"The Hague,",52.07494555,4.2696802205364515
Fatu-la,7.946530565968351,-11.766599091460192
"New 
Delhi",28.64308585,77.21926705734865
Jammu,32.7185614,74.8580917
Geneva,46.2017559,6.1466014
serais,48.3985515,-0.3298584
Fatu,6.6129281,-10.1590364
Ludhiana,30.9090157,75.851601
Gilgit,35.9208102,74.314044
Mahayana,10.8508011,76.2711816
Tartary,44.803584900000004,4.615097228548244
Lotsawa,31.5319662,78.2516642
Panikhar,34.1186738,75.9467562
Manipur,24.7208818,93.9229386
Shina,35.0000663,104.999955
Taipei,25.0375198,121.5636796
Lynx,38.7731289,-83.4129666
Aghas,35.2330606,23.6808804
Vulpes,41.84603355836172,-78.97293789442809
Rohtang,32.3710034,77.2462692
Khardung,34.398586,77.6568546
Akbar,6.6653464,122.1954435
Sumdah,34.11013867002691,77.1917574726291
Banaras,25.3356491,83.0076292
Rajasthan,26.8105777,73.7684549
Stakna,34.0014386,77.6794412
Thor,42.6899,-94.0495254
espe­,65.8752778,20.15
Suraj,53.0131501,32.3931633
Jagir,-7.302567,112.7376028
Nineteenth,50.813878599999995,7.104919200000003
Kashm,14.9665651,35.9056724
Kabul,34.5266431,69.1849082
Alchi,34.2236334,77.1740631
Ptolemy,-68.5494632,-65.9516146
Yonam,36.94925105,127.1560864120124
Andrade,32.7248173,-114.724861
jagir,-7.302567,112.7376028
Tso-kar,33.311916,77.97988907423644
Hindustan,22.3511148,78.6677428
Genoud,46.126045,5.2695322
Paris,48.8588897,2.3200410217200766
Hanle,32.7714828,78.9832056
Zanskari,33.25267855,76.7133119544886
Snellgrove,30.35798552801387,-81.80474118804696
Building,6.8097314,-1.63623795
north-west,-26.1347819,25.6546729
Delhi,28.6273928,77.1716954
Boundary,48.7846346,-116.4339511
Jersey,49.2214561,-2.1358386
Pang,-24.7761086,134.755
Khurbathang,34.5347574,76.1488309
Independence,39.0924792,-94.4137923
H.H.,29.495678993105045,-103.3719124996278
Kalimpong,27.0702869,88.4723676
Iraq,33.0955793,44.1749775
Zingzingbar,32.7918821,77.3184229
Ri-dzong,27.7236427,89.1529621
Jahangir,31.6994222,74.9558902
Akshobya,52.9707609,-1.1572761656393684
Gurkhas,51.426242,-0.0511268
Ippolito,46.0701678,13.4340239
Lamayuru,34.2827066,76.773959
Goldstein,50.9061479,14.2889776
eleventh,35.76526615,51.430968
