Source,Relation,Target,Weight
for instance,HAS BEEN,changes in government,1
pastoralists,HAVE BEEN,traumatic,1
saiga antelope,ARE,endangered,1
central asia rangelands,ENDED,in a near disaster,1
official pasture use policies,HAVE SEEN,dramatic changes,1
winter pastures,HAVE BEEN FEN-CED,for livestock,1
rangeland management goals,HAVE CHANGED,to sedentarization,1
pastoralists,HAVE BEEN,sedentarized,1
tibetan antelope,IS,emblematic,1
wild yak,IS,endangered,1
livestock grazing,MAY POSE A SERIOUS THREAT,to wildlife,1
wildlife,HAVE BEEN DECIMATED OR EVEN LOCAL EXTINCTION,resulting in their,1
central asia and himalaya,HAVE DEMONSTRATED,studies have,1
land use,HAS BEEN INTENSIFIED,for low productivity ecosystems,1
pastoralist lifestyle,SUBSISTED,highly seasonal and unpredictable environments,1
pastoralists,PRACTISED,well-defined movement,1
pastoral practices of rupshu,AFFECTED,core area near the indo-tibetan border,1
sino-indian war of 1962,AFFECTED,rupshus groups in ladakh,1
externally generated shifts,AFFECTED,"local wildlife, including some species of conservation importance",1
changes in pasture use patterns,DEMONSTRATED,effect on biodiversity,1
tibetan argali,STUDIED,spatial interactions between argali and livestock,1
ecological elements,DISCUSSED,management policy formulation,1
social elements,DISCUSSED,management policy formulation,1
rupshu pastoralists,RESIDE,samad and korzok villages,1
tibetan refugees,RESIDE,samad and korzok villages,1
government officials,WORK,"wildlife protection, sheep husbandry and animal husbandry departments",1
sheep husbandry department,INTERVIEWED,august 2006,1
land use reports,REVIEWED,local sheep and animal husbandry departments,1
livestock data,REVIEWED,local sheep and animal husbandry departments,1
community members,PROVIDE INFORMATION,"pasture use, migration patterns and socio-economic changes",1
adult member of each family,OBTAIN INFORMATION,family size and livestock holdings,1
village goba,OBTAIN INFORMATION,time spent at particular seasonal locations and pastures,1
herders,MAP SEASONAL PASTURE USE,tso kar basin,1
nomads,RECORD GPS LOCATIONS,herder camps from 2005 to 2007 during the summer season,1
argali and livestock,ESTIMATE SEASONAL PASTURE USE,tso kar basin,1
rupshu pastoralists,USE,pasture area,1
livestock,GRAZING,pastures,1
argali,SPACE USE OVERLAP,livestock,1
pastoralists,MOVEMENT CYCLE,annual movement cycle,1
pasture area,USED,by livestock,1
livestock,GRAZING DAYS,165 consecutive grazing days,1
80 families,MIGRATED,skagjung,1
pastoralists,SPENT,180 grazing days at skagjung,1
skagjung area,PROVIDED,plentiful forage for the livestock during this lean season,1
indus river,FROZE,providing access through its north bank to tibet,1
rupshu group,PRESIDED OVER BY,goba (head of the village),1
goba,APPOINTED BY,king of ladakh,1
rupshu group,SPLIT INTO,korzok and samad,1
current traditional structure,EXISTS SIDE BY SIDE WITH,government-sponsored local authorities (panchayats),1
one respondent,MENTIONED THAT,the throw of the dice demonstrated divine sanction,1
rupshu pastoralists,CLAIMED THAT,the dice was a more democratic way of selecting the goba,1
each place,ELECTS,rta-rdzi (horse herder) and dkor-pa (one who looks after the village monastery's livestock),1
tibetan refugees,ENTERED INTO INDIA THROUGH LADAKH,accompanied by thousands of their livestock,1
china,OCCUPIED,tibet,1
war in 1961-1962,LED TO,increased military activity and closure of borders,1
previous international border,REALIGNED,resulting in the loss of rupshu's winter pastures to china,1
jammu and kashmir government,INITIATED THE DEVELOPMENT OF,pashmina or cashmere production,1
governmental policies,FOCUSED ON,cashmere goats,1
pastoralists and government,CLAIMED THAT,the governmental policies were aimed at,1
governmental policies,ALSO AIMED AT,ameliorating the welfare of the pastoralists and their livestock,1
jammu and kashmir government,IMPLEMENTED STRATEGIES TO,sustain livestock numbers and increase their survival,1
rupshu society,PRACTISED FRATERNAL POLYANDRY WHERE BROTHERS USUALLY MARRIED ONE WOMAN AS,a way to restrict the number of individual households,1
pastoralists,BELIEVED THAT,such a marital system kept an upper limit on the number of families,1
rupshu nomads,PRACTISED,seasonal movements of samad nomads are presented in detail for the tso kar basin,1
events,HAD MULTIPLE CONSEQUENCES,the loss of pastures and an increase in the number of households and livestock,1
the government,CREATED,social infrastructure,1
